OID,Cid,Boundaries,Center
90002900,90002900,"((X=21.997921,Y=-663.747944,Z=19.213600),(X=239.617066,Y=-651.570230,Z=19.213600),(X=442.180122,Y=-598.451925,Z=19.213600),(X=616.959410,Y=-507.730623,Z=19.213600),(X=752.972867,Y=-385.106759,Z=19.213600),(X=841.674002,Y=-238.285476,Z=19.213600),(X=877.489874,Y=-76.491563,Z=19.213600),(X=858.169934,Y=90.108268,Z=19.213600),(X=784.927895,Y=251.046593,Z=19.213600),(X=662.365838,Y=396.210934,Z=19.213600),(X=498.184976,Y=516.479621,Z=19.213600),(X=302.701671,Y=604.295805,Z=19.213600),(X=88.198127,Y=654.141990,Z=19.213600),(X=-131.847223,Y=662.886088,Z=19.213600),(X=-343.607959,Y=629.978670,Z=19.213600),(X=-533.778724,Y=557.487257,Z=19.213600),(X=-690.409959,Y=449.966861,Z=19.213600),(X=-803.660453,Y=314.173386,Z=19.213600),(X=-866.413874,Y=158.639375,Z=19.213600),(X=-874.727340,Y=-6.862537,Z=19.213600),(X=-828.078458,Y=-171.933382,Z=19.213600),(X=-729.398453,Y=-326.201021,Z=19.213600),(X=-584.887556,Y=-459.972259,Z=19.213600),(X=-403.626026,Y=-564.841581,Z=19.213600),(X=-197.003207,Y=-634.219893,Z=19.213600))","(X=-427729.954925,Y=426682.850386,Z=-589.528757)"
90003200,90003200,"((X=-5.948574,Y=-659.979915,Z=19.213600),(X=157.533484,Y=-640.502891,Z=19.213600),(X=311.117084,Y=-580.780680,Z=19.213600),(X=445.152081,Y=-484.565821,Z=19.213600),(X=551.216534,Y=-357.903929,Z=19.213600),(X=622.645816,Y=-208.753880,Z=19.213600),(X=654.952138,Y=-46.486774,Z=19.213600),(X=646.105475,Y=118.700944,Z=19.213600),(X=596.661545,Y=276.430567,Z=19.213600),(X=509.727100,Y=416.791232,Z=19.213600),(X=390.764674,Y=530.963113,Z=19.213600),(X=247.249324,Y=611.772451,Z=19.213600),(X=88.198110,Y=654.141992,Z=19.213600),(X=-76.394910,Y=655.409446,Z=19.213600),(X=-236.187628,Y=615.495174,Z=19.213600),(X=-381.139949,Y=536.906954,Z=19.213600),(X=-502.143658,Y=424.582894,Z=19.213600),(X=-591.596026,Y=285.580715,Z=19.213600),(X=-643.876137,Y=128.634587,Z=19.213600),(X=-655.699154,Y=-36.394132,Z=19.213600),(X=-626.322178,Y=-199.136205,Z=19.213600),(X=-557.591144,Y=-349.365820,Z=19.213600),(X=-453.824530,Y=-477.643502,Z=19.213600),(X=-321.542448,Y=-575.908919,Z=19.213600),(X=-169.056688,Y=-637.987926,Z=19.213600))","(X=-432372.110837,Y=430718.937972,Z=-589.528757)"
90030100,90030100,"((X=1020.054028,Y=-1439.656278,Z=100.000000),(X=1573.808643,Y=-1070.903875,Z=100.000000),(X=2028.674841,Y=-634.862670,Z=100.000000),(X=2356.071942,Y=-158.930514,Z=100.000000),(X=2535.428400,Y=326.987780,Z=100.000000),(X=2555.474234,Y=792.359245,Z=100.000000),(X=2414.950374,Y=1207.944810,Z=100.000000),(X=2122.687051,Y=1547.630193,Z=100.000000),(X=1697.046684,Y=1790.072809,Z=100.000000),(X=1164.774058,Y=1920.038830,Z=100.000000),(X=559.314974,Y=1929.361284,Z=100.000000),(X=-81.286727,Y=1817.455005,Z=100.000000),(X=-716.782068,Y=1591.351033,Z=100.000000),(X=-1307.239428,Y=1265.256767,Z=100.000000),(X=-1815.557763,Y=859.662151,Z=100.000000),(X=-2209.798231,Y=400.051255,Z=100.000000),(X=-2465.188281,Y=-84.695962,Z=100.000000),(X=-2565.682146,Y=-564.121833,Z=100.000000),(X=-2504.964617,Y=-1008.101353,Z=100.000000),(X=-2286.850979,Y=-1388.738194,Z=100.000000),(X=-1925.045862,Y=-1682.115783,Z=100.000000),(X=-1442.283273,Y=-1869.799992,Z=100.000000),(X=-868.896435,Y=-1939.997649,Z=100.000000),(X=-240.913888,Y=-1888.297751,Z=100.000000),(X=402.206206,Y=-1717.949334,Z=100.000000))","(X=353945.000000,Y=-148965.000000,Z=-260.000000)"
90030200,90030200,"((X=495.901513,Y=-554.969233,Z=100.000000),(X=562.321797,Y=-446.379560,Z=100.000000),(X=593.409285,Y=-309.742216,Z=100.000000),(X=587.210652,Y=-153.642562,Z=100.000000),(X=544.115428,Y=12.111001,Z=100.000000),(X=466.831525,Y=177.103248,Z=100.000000),(X=360.214749,Y=330.967778,Z=100.000000),(X=230.964635,Y=464.036152,Z=100.000000),(X=87.201877,Y=567.947649,Z=100.000000),(X=-62.040279,Y=636.173025,Z=100.000000),(X=-207.383995,Y=664.425120,Z=100.000000),(X=-339.696751,Y=650.928939,Z=100.000000),(X=-450.665337,Y=596.532437,Z=100.000000),(X=-533.317005,Y=504.653662,Z=100.000000),(X=-582.458386,Y=381.065764,Z=100.000000),(X=-595.001741,Y=233.533920,Z=100.000000),(X=-570.158854,Y=71.328387,Z=100.000000),(X=-509.490874,Y=-95.359092,Z=100.000000),(X=-416.809762,Y=-256.054635,Z=100.000000),(X=-297.938960,Y=-400.661336,Z=100.000000),(X=-160.347456,Y=-520.093119,Z=100.000000),(X=-12.680764,Y=-606.845579,Z=100.000000),(X=135.782750,Y=-655.467661,Z=100.000000),(X=275.714410,Y=-662.904157,Z=100.000000),(X=398.321961,Y=-628.688011,Z=100.000000))","(X=357660.000000,Y=-147685.000000,Z=-260.000000)"
90030400,90030400,"((X=1386.978325,Y=-2254.276414,Z=100.000000),(X=1917.677758,Y=-1834.338461,Z=100.000000),(X=2327.882198,Y=-1299.142269,Z=100.000000),(X=2591.817205,Y=-682.315913,Z=100.000000),(X=2692.898839,Y=-22.617217,Z=100.000000),(X=2624.775563,Y=638.501260,Z=100.000000),(X=2391.727966,Y=1259.501678,Z=100.000000),(X=2008.400231,Y=1801.362017,Z=100.000000),(X=1498.876340,Y=2230.037069,Z=100.000000),(X=895.171860,Y=2518.591177,Z=100.000000),(X=235.221161,Y=2648.892162,Z=100.000000),(X=-439.508070,Y=2612.753468,Z=100.000000),(X=-1086.622620,Y=2412.445648,Z=100.000000),(X=-1665.460781,Y=2060.555215,Z=100.000000),(X=-2139.651594,Y=1579.193001,Z=100.000000),(X=-2479.400455,Y=998.603563,Z=100.000000),(X=-2663.358812,Y=355.268591,Z=100.000000),(X=-2679.969178,Y=-310.389676,Z=100.000000),(X=-2528.187160,Y=-956.544330,Z=100.000000),(X=-2217.549869,Y=-1542.595832,Z=100.000000),(X=-1767.575472,Y=-2031.720802,Z=100.000000),(X=-1206.538040,Y=-2393.185436,Z=100.000000),(X=-569.689101,Y=-2604.277282,Z=100.000000),(X=102.955156,Y=-2651.732233,Z=100.000000),(X=769.130442,Y=-2532.569353,Z=100.000000))","(X=363750.000000,Y=-149025.000000,Z=-260.000000)"
90030401,90030401,"((X=1386.978325,Y=-2254.276413,Z=100.000000),(X=1917.677758,Y=-1834.338460,Z=100.000000),(X=2327.882197,Y=-1299.142268,Z=100.000000),(X=2591.817204,Y=-682.315913,Z=100.000000),(X=2692.898839,Y=-22.617216,Z=100.000000),(X=2624.775563,Y=638.501260,Z=100.000000),(X=2391.727966,Y=1259.501678,Z=100.000000),(X=2008.400231,Y=1801.362017,Z=100.000000),(X=1498.876340,Y=2230.037068,Z=100.000000),(X=895.171860,Y=2518.591177,Z=100.000000),(X=235.221161,Y=2648.892161,Z=100.000000),(X=-439.508070,Y=2612.753467,Z=100.000000),(X=-1086.622620,Y=2412.445647,Z=100.000000),(X=-1665.460781,Y=2060.555214,Z=100.000000),(X=-2139.651594,Y=1579.193001,Z=100.000000),(X=-2479.400455,Y=998.603563,Z=100.000000),(X=-2663.358812,Y=355.268591,Z=100.000000),(X=-2679.969178,Y=-310.389676,Z=100.000000),(X=-2528.187160,Y=-956.544330,Z=100.000000),(X=-2217.549869,Y=-1542.595832,Z=100.000000),(X=-1767.575472,Y=-2031.720801,Z=100.000000),(X=-1206.538041,Y=-2393.185436,Z=100.000000),(X=-569.689101,Y=-2604.277282,Z=100.000000),(X=102.955156,Y=-2651.732233,Z=100.000000),(X=769.130441,Y=-2532.569352,Z=100.000000))","(X=367295.000000,Y=-154090.000000,Z=-260.000000)"
90030700,90030700,"((X=-148.799669,Y=-545.984172,Z=100.000000),(X=-50.135684,Y=-544.298970,Z=100.000000),(X=51.678489,Y=-508.413430,Z=100.000000),(X=150.245543,Y=-440.582354,Z=100.000000),(X=239.372111,Y=-345.067886,Z=100.000000),(X=313.457870,Y=-227.871732,Z=100.000000),(X=367.848078,Y=-96.357339,Z=100.000000),(X=399.125005,Y=41.211265,Z=100.000000),(X=405.323462,Y=176.190689,Z=100.000000),(X=386.053954,Y=300.099569,Z=100.000000),(X=342.527227,Y=405.151871,Z=100.000000),(X=277.478364,Y=484.746821,Z=100.000000),(X=194.994379,Y=533.883466,Z=100.000000),(X=100.258196,Y=549.474299,Z=100.000000),(X=-0.777490,Y=530.539679,Z=100.000000),(X=-101.764431,Y=478.269210,Z=100.000000),(X=-196.357032,Y=395.947311,Z=100.000000),(X=-278.611911,Y=288.746591,Z=100.000000),(X=-343.360491,Y=163.402965,Z=100.000000),(X=-386.534475,Y=27.792126,Z=100.000000),(X=-405.421104,Y=-109.565104,Z=100.000000),(X=-398.833674,Y=-240.037951,Z=100.000000),(X=-367.186013,Y=-355.428343,Z=100.000000),(X=-312.466666,Y=-448.485727,Z=100.000000),(X=-238.113914,Y=-513.363156,Z=100.000000))","(X=369350.000000,Y=-155785.000000,Z=-260.000000)"
90040100,90040100,"((X=45.876581,Y=-539.188435,Z=100.000000),(X=132.638591,Y=-505.134001,Z=100.000000),(X=211.066401,Y=-439.340118,Z=100.000000),(X=276.232144,Y=-345.940824,Z=100.000000),(X=324.041205,Y=-230.804814,Z=100.000000),(X=351.489473,Y=-101.166726,Z=100.000000),(X=356.852433,Y=34.828289,Z=100.000000),(X=339.793103,Y=168.634658,Z=100.000000),(X=301.383253,Y=291.845345,Z=100.000000),(X=244.036329,Y=396.718464,Z=100.000000),(X=171.355751,Y=476.664096,Z=100.000000),(X=87.908412,Y=526.659054,Z=100.000000),(X=-1.062695,Y=543.562150,Z=100.000000),(X=-89.967030,Y=526.311287,Z=100.000000),(X=-173.218341,Y=475.990414,Z=100.000000),(X=-245.585773,Y=395.761196,Z=100.000000),(X=-302.522046,Y=290.664867,Z=100.000000),(X=-340.449849,Y=167.304962,Z=100.000000),(X=-356.985891,Y=33.432794,Z=100.000000),(X=-351.091203,Y=-102.540085,Z=100.000000),(X=-323.136150,Y=-232.070100,Z=100.000000),(X=-274.877302,Y=-347.018307,Z=100.000000),(X=-209.346859,Y=-440.162074,Z=100.000000),(X=-130.662394,Y=-505.648702,Z=100.000000),(X=-43.767934,Y=-539.363618,Z=100.000000))","(X=380895.000000,Y=-155615.000000,Z=-260.000000)"
90040600,90040600,"((X=76.970470,Y=-599.850660,Z=100.000000),(X=223.729162,Y=-561.863477,Z=100.000000),(X=356.430079,Y=-488.572321,Z=100.000000),(X=466.735202,Y=-384.582308,Z=100.000000),(X=547.713635,Y=-256.427594,Z=100.000000),(X=594.277049,Y=-112.160855,Z=100.000000),(X=603.499967,Y=39.153641,Z=100.000000),(X=574.802864,Y=188.007684,Z=100.000000),(X=509.988666,Y=325.048795,Z=100.000000),(X=413.129911,Y=441.666059,Z=100.000000),(X=290.312761,Y=530.531591,Z=100.000000),(X=149.254449,Y=586.061744,Z=100.000000),(X=-1.182339,Y=604.767552,Z=100.000000),(X=-151.544838,Y=585.473645,Z=100.000000),(X=-292.385108,Y=529.392347,Z=100.000000),(X=-414.853858,Y=440.047252,Z=100.000000),(X=-511.255644,Y=323.052391,Z=100.000000),(X=-575.533531,Y=185.758924,Z=100.000000),(X=-603.648453,Y=36.793678,Z=100.000000),(X=-593.833932,Y=-114.483457,Z=100.000000),(X=-546.706621,Y=-258.567294,Z=100.000000),(X=-465.227784,Y=-386.404408,Z=100.000000),(X=-354.516903,Y=-489.962308,Z=100.000000),(X=-221.530439,Y=-562.733922,Z=100.000000),(X=-74.624410,Y=-600.146955,Z=100.000000))","(X=383585.424088,Y=-155509.997437,Z=872.166798)"
90040900,90040900,"((X=38.485235,Y=-299.925330,Z=100.000000),(X=111.864581,Y=-280.931739,Z=100.000000),(X=178.215040,Y=-244.286160,Z=100.000000),(X=233.367601,Y=-192.291154,Z=100.000000),(X=273.856818,Y=-128.213797,Z=100.000000),(X=297.138524,Y=-56.080427,Z=100.000000),(X=301.749983,Y=19.576821,Z=100.000000),(X=287.401432,Y=94.003842,Z=100.000000),(X=254.994333,Y=162.524397,Z=100.000000),(X=206.564955,Y=220.833030,Z=100.000000),(X=145.156380,Y=265.265796,Z=100.000000),(X=74.627224,Y=293.030872,Z=100.000000),(X=-0.591170,Y=302.383776,Z=100.000000),(X=-75.772419,Y=292.736823,Z=100.000000),(X=-146.192554,Y=264.696174,Z=100.000000),(X=-207.426929,Y=220.023626,Z=100.000000),(X=-255.627822,Y=161.526196,Z=100.000000),(X=-287.766765,Y=92.879462,Z=100.000000),(X=-301.824226,Y=18.396839,Z=100.000000),(X=-296.916966,Y=-57.241729,Z=100.000000),(X=-273.353311,Y=-129.283647,Z=100.000000),(X=-232.613892,Y=-193.202204,Z=100.000000),(X=-177.258452,Y=-244.981154,Z=100.000000),(X=-110.765220,Y=-281.366961,Z=100.000000),(X=-37.312205,Y=-300.073477,Z=100.000000))","(X=384405.896905,Y=-155271.073878,Z=872.155339)"
90041100,90041100,"((X=51.313646,Y=-399.900440,Z=100.000000),(X=149.152775,Y=-374.575651,Z=100.000000),(X=237.620053,Y=-325.714881,Z=100.000000),(X=311.156801,Y=-256.388205,Z=100.000000),(X=365.142424,Y=-170.951729,Z=100.000000),(X=396.184699,Y=-74.773903,Z=100.000000),(X=402.333311,Y=26.102428,Z=100.000000),(X=383.201909,Y=125.338456,Z=100.000000),(X=339.992444,Y=216.699197,Z=100.000000),(X=275.419941,Y=294.444040,Z=100.000000),(X=193.541840,Y=353.687728,Z=100.000000),(X=99.502966,Y=390.707829,Z=100.000000),(X=-0.788226,Y=403.178368,Z=100.000000),(X=-101.029892,Y=390.315763,Z=100.000000),(X=-194.923405,Y=352.928231,Z=100.000000),(X=-276.569239,Y=293.364834,Z=100.000000),(X=-340.837096,Y=215.368261,Z=100.000000),(X=-383.689021,Y=123.839283,Z=100.000000),(X=-402.432302,Y=24.529119,Z=100.000000),(X=-395.889288,Y=-76.322305,Z=100.000000),(X=-364.471081,Y=-172.378196,Z=100.000000),(X=-310.151856,Y=-257.602939,Z=100.000000),(X=-236.344602,Y=-326.641539,Z=100.000000),(X=-147.686959,Y=-375.155948,Z=100.000000),(X=-49.749607,Y=-400.097970,Z=100.000000))","(X=385504.093750,Y=-155740.625000,Z=873.406250)"
