OID,Cid,Milestone,Comment,SkillSlotType,SkillLevelGroupCid
750285,750285,Dev,광속 Lv.2,ArmorPassiveSkill2,750284
750286,750286,Dev,광속 Lv.3,ArmorPassiveSkill2,750284
750287,750287,Dev,광속 Lv.4,ArmorPassiveSkill2,750284
750288,750288,Dev,마력 회복 Lv.1,ArmorPassiveSkill1,750288
750289,750289,Dev,마력 회복 Lv.2,ArmorPassiveSkill1,750288
750290,750290,Dev,마력 회복 Lv.3,ArmorPassiveSkill1,750288
750291,750291,Dev,마력 회복 Lv.4,ArmorPassiveSkill1,750288
750292,750292,Dev,치유 증폭 Lv.1,ArmorPassiveSkill2,750292
750293,750293,Dev,치유 증폭 Lv.2,ArmorPassiveSkill2,750292
750294,750294,Dev,치유 증폭 Lv.3,ArmorPassiveSkill2,750292
750295,750295,Dev,치유 증폭 Lv.4,ArmorPassiveSkill2,750292
750296,750296,Dev,생명 순환 Lv.1,ArmorPassiveSkill1,750296
750297,750297,Dev,생명 순환 Lv.2,ArmorPassiveSkill1,750296
750298,750298,Dev,생명 순환 Lv.3,ArmorPassiveSkill1,750296
750299,750299,Dev,생명 순환 Lv.4,ArmorPassiveSkill1,750296
750300,750300,Dev,강인함 Lv.1,ArmorPassiveSkill2,750300
750301,750301,Dev,강인함 Lv.2,ArmorPassiveSkill2,750300
750302,750302,Dev,강인함 Lv.3,ArmorPassiveSkill2,750300
750303,750303,Dev,강인함 Lv.4,ArmorPassiveSkill2,750300
750304,750304,Dev,전투 집중 Lv.1,ArmorPassiveSkill1,750304
750305,750305,Dev,전투 집중 Lv.2,ArmorPassiveSkill1,750304
750306,750306,Dev,전투 집중 Lv.3,ArmorPassiveSkill1,750304
750307,750307,Dev,전투 집중 Lv.4,ArmorPassiveSkill1,750304
750308,750308,Dev,광속 Lv.1,ArmorPassiveSkill2,750308
750309,750309,Dev,광속 Lv.2,ArmorPassiveSkill2,750308
750310,750310,Dev,광속 Lv.3,ArmorPassiveSkill2,750308
750311,750311,Dev,광속 Lv.4,ArmorPassiveSkill2,750308
750312,750312,Dev,냉혹함 Lv.1,ArmorPassiveSkill1,750312
750313,750313,Dev,냉혹함 Lv.2,ArmorPassiveSkill1,750312
750314,750314,Dev,냉혹함 Lv.3,ArmorPassiveSkill1,750312
750315,750315,Dev,냉혹함 Lv.4,ArmorPassiveSkill1,750312
750316,750316,Dev,잔혹성 Lv.1,ArmorPassiveSkill2,750316
750317,750317,Dev,잔혹성 Lv.2,ArmorPassiveSkill2,750316
750318,750318,Dev,잔혹성 Lv.3,ArmorPassiveSkill2,750316
750319,750319,Dev,잔혹성 Lv.4,ArmorPassiveSkill2,750316
750320,750320,Dev,불굴 Lv.1,ArmorPassiveSkill1,750320
750321,750321,Dev,불굴 Lv.2,ArmorPassiveSkill1,750320
750322,750322,Dev,불굴 Lv.3,ArmorPassiveSkill1,750320
750323,750323,Dev,불굴 Lv.4,ArmorPassiveSkill1,750320
750324,750324,Dev,수호 Lv.1,ArmorPassiveSkill2,750324
750325,750325,Dev,수호 Lv.2,ArmorPassiveSkill2,750324
750326,750326,Dev,수호 Lv.3,ArmorPassiveSkill2,750324
750327,750327,Dev,수호 Lv.4,ArmorPassiveSkill2,750324
750328,750328,Dev,전투 집중 Lv.1,ArmorPassiveSkill1,750328
750329,750329,Dev,전투 집중 Lv.2,ArmorPassiveSkill1,750328
750330,750330,Dev,전투 집중 Lv.3,ArmorPassiveSkill1,750328
750331,750331,Dev,전투 집중 Lv.4,ArmorPassiveSkill1,750328
750332,750332,Dev,광폭화 Lv.1,ArmorPassiveSkill2,750332
750333,750333,Dev,광폭화 Lv.2,ArmorPassiveSkill2,750332
750334,750334,Dev,광폭화 Lv.3,ArmorPassiveSkill2,750332
750335,750335,Dev,광폭화 Lv.4,ArmorPassiveSkill2,750332
750336,750336,Dev,재생 갑주 Lv.1,ArmorPassiveSkill1,750336
750337,750337,Dev,재생 갑주 Lv.2,ArmorPassiveSkill1,750336
750338,750338,Dev,재생 갑주 Lv.3,ArmorPassiveSkill1,750336
750339,750339,Dev,재생 갑주 Lv.4,ArmorPassiveSkill1,750336
750340,750340,Dev,생명력 Lv.1,ArmorPassiveSkill2,750340
750341,750341,Dev,생명력 Lv.2,ArmorPassiveSkill2,750340
750342,750342,Dev,생명력 Lv.3,ArmorPassiveSkill2,750340
750343,750343,Dev,생명력 Lv.4,ArmorPassiveSkill2,750340
750344,750344,Dev,수호 집중 Lv.1,ArmorPassiveSkill1,750344
750345,750345,Dev,수호 집중 Lv.2,ArmorPassiveSkill1,750344
750346,750346,Dev,수호 집중 Lv.3,ArmorPassiveSkill1,750344
750347,750347,Dev,수호 집중 Lv.4,ArmorPassiveSkill1,750344
750348,750348,Dev,사냥꾼 Lv.1,ArmorPassiveSkill2,750348
750349,750349,Dev,사냥꾼 Lv.2,ArmorPassiveSkill2,750348
750350,750350,Dev,사냥꾼 Lv.3,ArmorPassiveSkill2,750348
750351,750351,Dev,사냥꾼 Lv.4,ArmorPassiveSkill2,750348
750352,750352,Dev,폭주 가속 Lv.1,ArmorPassiveSkill1,750352
750353,750353,Dev,폭주 가속 Lv.2,ArmorPassiveSkill1,750352
750354,750354,Dev,폭주 가속 Lv.3,ArmorPassiveSkill1,750352
750355,750355,Dev,폭주 가속 Lv.4,ArmorPassiveSkill1,750352
750356,750356,Dev,광속 Lv.1,ArmorPassiveSkill2,750356
750357,750357,Dev,광속 Lv.2,ArmorPassiveSkill2,750356
750358,750358,Dev,광속 Lv.3,ArmorPassiveSkill2,750356
750359,750359,Dev,광속 Lv.4,ArmorPassiveSkill2,750356
750360,750360,Dev,활력 폭주 Lv.1,ArmorPassiveSkill1,750360
750361,750361,Dev,활력 폭주 Lv.2,ArmorPassiveSkill1,750360
750362,750362,Dev,활력 폭주 Lv.3,ArmorPassiveSkill1,750360
750363,750363,Dev,활력 폭주 Lv.4,ArmorPassiveSkill1,750360
750364,750364,Dev,정밀함 Lv.1,ArmorPassiveSkill2,750364
750365,750365,Dev,정밀함 Lv.2,ArmorPassiveSkill2,750364
750366,750366,Dev,정밀함 Lv.3,ArmorPassiveSkill2,750364
750367,750367,Dev,정밀함 Lv.4,ArmorPassiveSkill2,750364
750368,750368,Dev,철벽 Lv.1,ArmorPassiveSkill1,750368
750369,750369,Dev,철벽 Lv.2,ArmorPassiveSkill1,750368
750370,750370,Dev,철벽 Lv.3,ArmorPassiveSkill1,750368
750371,750371,Dev,철벽 Lv.4,ArmorPassiveSkill1,750368
750372,750372,Dev,회복 친화 Lv.1,ArmorPassiveSkill2,750372
750373,750373,Dev,회복 친화 Lv.2,ArmorPassiveSkill2,750372
750374,750374,Dev,회복 친화 Lv.3,ArmorPassiveSkill2,750372
750375,750375,Dev,회복 친화 Lv.4,ArmorPassiveSkill2,750372
750376,750376,Dev,거인의 체력 Lv.1,ArmorPassiveSkill1,750376
750377,750377,Dev,거인의 체력 Lv.2,ArmorPassiveSkill1,750376
750378,750378,Dev,거인의 체력 Lv.3,ArmorPassiveSkill1,750376
750379,750379,Dev,거인의 체력 Lv.4,ArmorPassiveSkill1,750376
750380,750380,Dev,정화 체질 Lv.1,ArmorPassiveSkill2,750380
750381,750381,Dev,정화 체질 Lv.2,ArmorPassiveSkill2,750380
750382,750382,Dev,정화 체질 Lv.3,ArmorPassiveSkill2,750380
750383,750383,Dev,정화 체질 Lv.4,ArmorPassiveSkill2,750380
750384,750384,Dev,불굴 Lv.1,ArmorPassiveSkill1,750384
750385,750385,Dev,불굴 Lv.2,ArmorPassiveSkill1,750384
750386,750386,Dev,불굴 Lv.3,ArmorPassiveSkill1,750384
750387,750387,Dev,불굴 Lv.4,ArmorPassiveSkill1,750384
750388,750388,Dev,가속 Lv.1,ArmorPassiveSkill2,750388
750389,750389,Dev,가속 Lv.2,ArmorPassiveSkill2,750388
750390,750390,Dev,가속 Lv.3,ArmorPassiveSkill2,750388
750391,750391,Dev,가속 Lv.4,ArmorPassiveSkill2,750388
750392,750392,Dev,생명의 샘 Lv.1,ArmorPassiveSkill1,750392
750393,750393,Dev,생명의 샘 Lv.2,ArmorPassiveSkill1,750392
750394,750394,Dev,생명의 샘 Lv.3,ArmorPassiveSkill1,750392
750395,750395,Dev,생명의 샘 Lv.4,ArmorPassiveSkill1,750392
750396,750396,Dev,정화 체질 Lv.1,ArmorPassiveSkill2,750396
750397,750397,Dev,정화 체질 Lv.2,ArmorPassiveSkill2,750396
750398,750398,Dev,정화 체질 Lv.3,ArmorPassiveSkill2,750396
750399,750399,Dev,정화 체질 Lv.4,ArmorPassiveSkill2,750396
750400,750400,Dev,생존 감각 Lv.1,ArmorPassiveSkill1,750400
750401,750401,Dev,생존 감각 Lv.2,ArmorPassiveSkill1,750400
750402,750402,Dev,생존 감각 Lv.3,ArmorPassiveSkill1,750400
750403,750403,Dev,생존 감각 Lv.4,ArmorPassiveSkill1,750400
750404,750404,Dev,가속 Lv.1,ArmorPassiveSkill2,750404
750405,750405,Dev,가속 Lv.2,ArmorPassiveSkill2,750404
750406,750406,Dev,가속 Lv.3,ArmorPassiveSkill2,750404
750407,750407,Dev,가속 Lv.4,ArmorPassiveSkill2,750404
1000001,1000001,Dev,천 갑옷,ArmorSkill2,1000001
1000051,1000051,Dev,천 머리,ArmorSkill1,1000051
1000071,1000071,Dev,천 장갑,ArmorSkill3,1000051
1000101,1000101,Dev,천 신발,ArmorSkill4,1000101
1000151,1000151,Dev,천 갑옷_패시브,ArmorPassiveSkill1,1000151
1100001,1100001,Dev,가죽 갑옷,ArmorSkill2,1100001
1100051,1100051,Dev,가죽 머리,ArmorSkill1,1100051
1100071,1100071,Dev,가죽 장갑,ArmorSkill3,1100051
1100101,1100101,Dev,가죽 신발,ArmorSkill4,1100101
1200001,1200001,Dev,판금 머리,ArmorSkill1,1200001
1200051,1200051,Dev,판금 갑옷,ArmorSkill2,1200051
1200071,1200071,Dev,판금 장갑,ArmorSkill3,1200051
1200101,1200101,Dev,판금 신발,ArmorSkill4,1200101
10000010,10000010,Dev,테스트 몬스터 소환 스킬,WeaponSkill1,10000010
10750001,10750001,Dev,회복 스킬 S 테스트 용,PetSkill1,10750001
10750002,10750002,Dev,점멸 스킬 W 테스트 용,PetSkill2,10750002
11030001,11030001,Dev,보스_판금 투구로 임시,ArmorSkill1,11030001
11110001,11110001,Dev,,WeaponSkill1,11110001
11520001,11520001,Dev,,WeaponSkill2,11520001
11540001,11540001,Dev,,WeaponSkill4,11540001
12110007,12110007,Dev,,WeaponSkill4,12110007
12520001,12520001,Dev,,WeaponSkill2,12520001
13110001,13110001,Dev,,WeaponSkill1,13110001
13120004,13120004,Dev,보스_판금 갑옷으로 임시,ArmorSkill2,13120004
13130005,13130005,Dev,,WeaponSkill2,13130005
13140006,13140006,Dev,,WeaponSkill4,13140006
14310002,14310002,Dev,,WeaponSkill1,14310002
14330001,14330001,Dev,,WeaponSkill3,14330001
14340001,14340001,Dev,,WeaponSkill4,14340001
14620001,14620001,Dev,,WeaponSkill2,14620001
14620005,14620005,Dev,번개 이동,WeaponSkill4,14620005
15010001,15010001,Dev,Bow 1,WeaponSkill1,15010001
15020001,15020001,Dev,,WeaponSkill2,15020001
15020003,15020003,Dev,가죽 신발 백덤블링,ArmorSkill3,15020003
15210001,15210001,Dev,집중 사격,WeaponSkill1,15210001
15540001,15540001,Dev,,WeaponSkill4,15540001
15540002,15540002,Dev,Bow 4,WeaponSkill4,15540002
15540003,15540003,Dev,Bow 2_다발 화살,WeaponSkill2,15540003
15540004,15540004,Dev,활_R_멋진 논타겟 투사체 스턴,WeaponSkill4,15540004
15540005,15540005,Dev,,WeaponSkill3,15540005
15620001,15620001,Dev,Bow 2,WeaponSkill2,15620001
15630001,15630001,Dev,,WeaponSkill3,15630001
17000001,17000001,Dev,판금 투구,ArmorSkill1,17000001
17000004,17000004,Dev,가죽 투구,ArmorSkill1,17000004
17000101,17000101,Dev,천 투구,ArmorSkill1,17000101
18000001,18000001,Dev,판금 갑옷,ArmorSkill2,18000001
18000002,18000002,Dev,천 갑옷,ArmorSkill2,18000002
18000003,18000003,Dev,가죽 갑옷,ArmorSkill2,18000003
19000001,19000001,Dev,판금 신발,ArmorSkill4,19000001
19000002,19000002,Dev,천 신발,ArmorSkill4,19000002
19000003,19000003,Dev,가죽 신발,ArmorSkill4,19000003
40010001,40010001,Dev,탈것_말_도약,WeaponSkill2,40010001
40310001,40310001,Dev,탈것_말_적_밀어내기+이속감소 / 아군_이속증가,WeaponSkill4,40310001
40410001,40410001,Dev,탈것_공용_질주,WeaponSkill1,40410001
40610001,40610001,Dev,탈것_말_주인회복,WeaponSkill3,40610001
41500001,41500001,Dev,,WeaponSkill2,41500001
41500002,41500002,Dev,,WeaponSkill3,41500002
41500003,41500003,Dev,,WeaponSkill4,200150
50500001,50500001,Dev,점멸 1T,PetSkill1,30211
50500004,50500004,Dev,점멸 4T,PetSkill2,30241
50500005,50500005,Dev,점멸 5T,PetSkill1,30251
50500101,50500101,Dev,점멸 1T,PetSkill2,30211
50501001,50501001,Dev,정화 1T,PetSkill2,30311
50501004,50501004,Dev,정화 4T,PetSkill1,30341
50501005,50501005,Dev,정화 5T,PetSkill2,30351
50520001,50520001,Dev,점화 1T,PetSkill1,30911
50520004,50520004,Dev,점화 4T,PetSkill1,30941
50520005,50520005,Dev,점화 5T,PetSkill1,30951
50540001,50540001,Dev,방어막 1T,PetSkill1,30511
50540004,50540004,Dev,방어막 4T,PetSkill1,30541
50540005,50540005,Dev,방어막 5T,PetSkill1,30551
50550001,50550001,Dev,유체화 1T,PetSkill2,30011
50550004,50550004,Dev,유체화 4T,PetSkill1,30041
50550005,50550005,Dev,유체화 5T,PetSkill2,30051
50551001,50551001,Dev,고양 1T,PetSkill2,30111
50551004,50551004,Dev,고양 4T,PetSkill2,30141
50551005,50551005,Dev,고양 5T,PetSkill2,30151
50560001,50560001,Dev,탈진 1T,PetSkill2,30611
50560004,50560004,Dev,억제 4T,PetSkill2,30741
50560005,50560005,Dev,억제 5T,PetSkill2,30751
50561001,50561001,Dev,억제 1T,PetSkill1,30711
50561004,50561004,Dev,억제 4T,PetSkill1,30741
50561005,50561005,Dev,억제 5T,PetSkill1,30751
50570001,50570001,Dev,회복 1T,PetSkill2,30411
50570004,50570004,Dev,회복 4T,PetSkill1,30441
50570005,50570005,Dev,회복 5T,PetSkill2,30451
50571001,50571001,Dev,총명 1T,PetSkill1,30811
50571004,50571004,Dev,총명 4T,PetSkill1,30841
50571005,50571005,Dev,총명 5T,PetSkill1,30851
50581004,50581004,Dev,탈진 4T,PetSkill2,30641
50581005,50581005,Dev,탈진 5T,PetSkill2,30651
60510001,60510001,Dev,,WeaponSkill1,60510001
61210001,61210001,Dev,,WeaponSkill1,61210001
62510001,62510001,Dev,,WeaponSkill1,62510001
70030001,70030001,Dev,외형 변신,WeaponSkill1,23110002
70030002,70030002,Dev,외형 변신,WeaponSkill2,20410004
99000001,99000001,Dev,기절,WeaponSkill1,99000001
99000002,99000002,Dev,무적,WeaponSkill1,99000002
99000003,99000003,Dev,속박,WeaponSkill1,99000003
99000004,99000004,Dev,어둠,WeaponSkill1,99000004
99000005,99000005,Dev,침묵,WeaponSkill1,99000005
99000006,99000006,Dev,빙결,WeaponSkill1,99000006
99000007,99000007,Dev,타겟팅 무시,WeaponSkill1,99000007
99000008,99000008,Dev,PVP 불가,WeaponSkill1,99000008
99000009,99000009,Dev,PVE 불가,WeaponSkill1,99000009
99000010,99000010,Dev,탑승 불가,WeaponSkill1,99000010
99000011,99000011,Dev,성문,WeaponSkill1,99000011
99000012,99000012,Dev,소환,WeaponSkill1,99000012
99000013,99000013,Dev,피해 면역,WeaponSkill1,99000013
99000014,99000014,Dev,은신,WeaponSkill1,99000014
99000015,99000015,Dev,지속 은신,WeaponSkill1,99000015
99000016,99000016,Dev,저지 불가,WeaponSkill1,99000016
99000017,99000017,Dev,석화,WeaponSkill1,99000017
99000018,99000018,Dev,부유,WeaponSkill1,99000018
99000019,99000019,Dev,수면,WeaponSkill1,99000019
99000020,99000020,Dev,부쉬 은신,WeaponSkill1,99000020
99000021,99000021,Dev,넘어짐,WeaponSkill1,99000021
1010001,1010001,Dev,1T 천 투구_최대 마력 향상,ArmorPassiveSkill1,1010001
1010011,1010011,Dev,1T 천 갑옷_최대 마력 향상,ArmorPassiveSkill1,1010011
1010021,1010021,Dev,1T 천 장갑_최대 마력 향상,ArmorPassiveSkill1,1010021
1010031,1010031,Dev,1T 천 신발_최대 마력 향상,ArmorPassiveSkill1,1010031
1010700,1010700,Dev,1T 판금 투구(제작)_받는 피해 감소 Lv.1,ArmorPassiveSkill1,1010700
1010701,1010701,Dev,1T 판금 투구(제작)_받는 피해 감소 Lv.2,ArmorPassiveSkill1,1010701
1020001,1020001,Dev,2T 천 투구_최대 마력 향상,ArmorPassiveSkill1,1020001
1020011,1020011,Dev,2T 천 갑옷_최대 마력 향상,ArmorPassiveSkill1,1020011
1020021,1020021,Dev,2T 천 장갑_최대 마력 향상,ArmorPassiveSkill1,1020021
1020031,1020031,Dev,2T 천 신발_최대 마력 향상,ArmorPassiveSkill1,1020031
1030001,1030001,Dev,3T 천 투구_최대 마력 향상,ArmorPassiveSkill1,1030001
1030011,1030011,Dev,3T 천 갑옷_최대 마력 향상,ArmorPassiveSkill1,1030011
1030021,1030021,Dev,3T 천 장갑_최대 마력 향상,ArmorPassiveSkill1,1030021
1030031,1030031,Dev,3T 천 신발_최대 마력 향상,ArmorPassiveSkill1,1030031
1110001,1110001,Dev,1T 가죽 투구_최대 마력 향상,ArmorPassiveSkill1,1110001
1110011,1110011,Dev,1T 가죽 갑옷_최대 마력 향상,ArmorPassiveSkill1,1110011
1110021,1110021,Dev,1T 가죽 장갑_최대 마력 향상,ArmorPassiveSkill1,1110021
1110031,1110031,Dev,1T 가죽 신발_최대 마력 향상,ArmorPassiveSkill1,1110031
1120001,1120001,Dev,2T 가죽 투구_최대 마력 향상,ArmorPassiveSkill1,1120001
1120011,1120011,Dev,2T 가죽 갑옷_최대 마력 향상,ArmorPassiveSkill1,1120011
1120021,1120021,Dev,2T 가죽 장갑_최대 마력 향상,ArmorPassiveSkill1,1120021
1120031,1120031,Dev,2T 가죽 신발_최대 마력 향상,ArmorPassiveSkill1,1120031
1130001,1130001,Dev,3T 가죽 투구_최대 마력 향상,ArmorPassiveSkill1,1130001
1130011,1130011,Dev,3T 가죽 갑옷_최대 마력 향상,ArmorPassiveSkill1,1130011
1130021,1130021,Dev,3T 가죽 장갑_최대 마력 향상,ArmorPassiveSkill1,1130021
1130031,1130031,Dev,3T 가죽 신발_최대 마력 향상,ArmorPassiveSkill1,1130031
1210001,1210001,Dev,1T 판금 투구_최대 체력 향상,ArmorPassiveSkill1,1210001
1210011,1210011,Dev,1T 판금 갑옷_최대 체력 향상,ArmorPassiveSkill1,1210011
1210021,1210021,Dev,1T 판금 장갑_최대 체력 향상,ArmorPassiveSkill1,1210021
1210031,1210031,Dev,1T 판금 신발_최대 체력 향상,ArmorPassiveSkill1,1210031
1220001,1220001,Dev,2T 판금 투구_최대 체력 향상,ArmorPassiveSkill1,1220001
1220011,1220011,Dev,2T 판금 갑옷_최대 체력 향상,ArmorPassiveSkill1,1220011
1220021,1220021,Dev,2T 판금 장갑_최대 체력 향상,ArmorPassiveSkill1,1220021
1220031,1220031,Dev,2T 판금 신발_최대 체력 향상,ArmorPassiveSkill1,1220031
1230001,1230001,Dev,3T 판금 투구_최대 체력 향상,ArmorPassiveSkill1,1230001
1230011,1230011,Dev,3T 판금 갑옷_최대 체력 향상,ArmorPassiveSkill1,1230011
1230021,1230021,Dev,3T 판금 장갑_최대 체력 향상,ArmorPassiveSkill1,1230021
1230031,1230031,Dev,3T 판금 신발_최대 체력 향상,ArmorPassiveSkill1,1230031
1010101,1010101,Dev,1T 천 투구_주는 피해 증가 향상,ArmorPassiveSkill2,1010101
1010111,1010111,Dev,1T 천 갑옷_주는 피해 증가 향상,ArmorPassiveSkill2,1010111
1010121,1010121,Dev,1T 천 장갑_주는 피해 증가 향상,ArmorPassiveSkill2,1010121
1010131,1010131,Dev,1T 천 신발_주는 피해 증가 향상,ArmorPassiveSkill2,1010131
1020101,1020101,Dev,2T 천 투구_주는 피해 증가 향상,ArmorPassiveSkill2,1020101
1020111,1020111,Dev,2T 천 갑옷_주는 피해 증가 향상,ArmorPassiveSkill2,1020111
1020121,1020121,Dev,2T 천 장갑_주는 피해 증가 향상,ArmorPassiveSkill2,1020121
1020131,1020131,Dev,2T 천 신발_주는 피해 증가 향상,ArmorPassiveSkill2,1020131
1030101,1030101,Dev,3T 천 투구_주는 피해 증가 향상,ArmorPassiveSkill2,1030101
1030111,1030111,Dev,3T 천 갑옷_주는 피해 증가 향상,ArmorPassiveSkill2,1030111
1030121,1030121,Dev,3T 천 장갑_주는 피해 증가 향상,ArmorPassiveSkill2,1030121
1030131,1030131,Dev,3T 천 신발_주는 피해 증가 향상,ArmorPassiveSkill2,1030131
1110101,1110101,Dev,1T 가죽 투구_주는 피해 증가 향상,ArmorPassiveSkill2,1110101
1110111,1110111,Dev,1T 가죽 갑옷_주는 피해 증가 향상,ArmorPassiveSkill2,1110111
1110121,1110121,Dev,1T 가죽 장갑_주는 피해 증가 향상,ArmorPassiveSkill2,1110121
1110131,1110131,Dev,1T 가죽 신발_주는 피해 증가 향상,ArmorPassiveSkill2,1110131
1120101,1120101,Dev,2T 가죽 투구_주는 피해 증가 향상,ArmorPassiveSkill2,1120101
1120111,1120111,Dev,2T 가죽 갑옷_주는 피해 증가 향상,ArmorPassiveSkill2,1120111
1120121,1120121,Dev,2T 가죽 장갑_주는 피해 증가 향상,ArmorPassiveSkill2,1120121
1120131,1120131,Dev,2T 가죽 신발_주는 피해 증가 향상,ArmorPassiveSkill2,1120131
1130101,1130101,Dev,3T 가죽 투구_주는 피해 증가 향상,ArmorPassiveSkill2,1130101
1130111,1130111,Dev,3T 가죽 갑옷_주는 피해 증가 향상,ArmorPassiveSkill2,1130111
1130121,1130121,Dev,3T 가죽 장갑_주는 피해 증가 향상,ArmorPassiveSkill2,1130121
1130131,1130131,Dev,3T 가죽 신발_주는 피해 증가 향상,ArmorPassiveSkill2,1130131
1210101,1210101,Dev,1T 판금 투구_받는 피해 감소 향상,ArmorPassiveSkill2,1210101
1210111,1210111,Dev,1T 판금 갑옷_받는 피해 감소 향상,ArmorPassiveSkill2,1210111
1210121,1210121,Dev,1T 판금 장갑_받는 피해 감소 향상,ArmorPassiveSkill2,1210121
1210131,1210131,Dev,1T 판금 신발_받는 피해 감소 향상,ArmorPassiveSkill2,1210131
1220101,1220101,Dev,2T 판금 투구_받는 피해 감소 향상,ArmorPassiveSkill2,1220101
1220111,1220111,Dev,2T 판금 갑옷_받는 피해 감소 향상,ArmorPassiveSkill2,1220111
1220121,1220121,Dev,2T 판금 장갑_받는 피해 감소 향상,ArmorPassiveSkill2,1220121
1220131,1220131,Dev,2T 판금 신발_받는 피해 감소 향상,ArmorPassiveSkill2,1220131
1230101,1230101,Dev,3T 판금 투구_받는 피해 감소 향상,ArmorPassiveSkill2,1230101
1230111,1230111,Dev,3T 판금 갑옷_받는 피해 감소 향상,ArmorPassiveSkill2,1230111
1230121,1230121,Dev,3T 판금 장갑_받는 피해 감소 향상,ArmorPassiveSkill2,1230121
1230131,1230131,Dev,3T 판금 신발_받는 피해 감소 향상,ArmorPassiveSkill2,1230131
1010201,1010201,Dev,1T 천 투구_마력 자연 회복력 향상,ArmorPassiveSkill3,1010201
1010211,1010211,Dev,1T 천 갑옷_마력 자연 회복력 향상,ArmorPassiveSkill3,1010211
1010221,1010221,Dev,1T 천 장갑_마력 자연 회복력 향상,ArmorPassiveSkill3,1010221
1010231,1010231,Dev,1T 천 신발_마력 자연 회복력 향상,ArmorPassiveSkill3,1010231
1020201,1020201,Dev,2T 천 투구_마력 자연 회복력 향상,ArmorPassiveSkill3,1020201
1020211,1020211,Dev,2T 천 갑옷_마력 자연 회복력 향상,ArmorPassiveSkill3,1020211
1020221,1020221,Dev,2T 천 장갑_마력 자연 회복력 향상,ArmorPassiveSkill3,1020221
1020231,1020231,Dev,2T 천 신발_마력 자연 회복력 향상,ArmorPassiveSkill3,1020231
1030201,1030201,Dev,3T 천 투구_마력 자연 회복력 향상,ArmorPassiveSkill3,1030201
1030211,1030211,Dev,3T 천 갑옷_마력 자연 회복력 향상,ArmorPassiveSkill3,1030211
1030221,1030221,Dev,3T 천 장갑_마력 자연 회복력 향상,ArmorPassiveSkill3,1030221
1030231,1030231,Dev,3T 천 신발_마력 자연 회복력 향상,ArmorPassiveSkill3,1030231
1110201,1110201,Dev,1T 가죽 투구_마력 자연 회복력 향상,ArmorPassiveSkill3,1110201
1110211,1110211,Dev,1T 가죽 갑옷_마력 자연 회복력 향상,ArmorPassiveSkill3,1110211
1110221,1110221,Dev,1T 가죽 장갑_마력 자연 회복력 향상,ArmorPassiveSkill3,1110221
1110231,1110231,Dev,1T 가죽 신발_마력 자연 회복력 향상,ArmorPassiveSkill3,1110231
1120201,1120201,Dev,2T 가죽 투구_마력 자연 회복력 향상,ArmorPassiveSkill3,1120201
1120211,1120211,Dev,2T 가죽 갑옷_마력 자연 회복력 향상,ArmorPassiveSkill3,1120211
1120221,1120221,Dev,2T 가죽 장갑_마력 자연 회복력 향상,ArmorPassiveSkill3,1120221
1120231,1120231,Dev,2T 가죽 신발_마력 자연 회복력 향상,ArmorPassiveSkill3,1120231
1130201,1130201,Dev,3T 가죽 투구_마력 자연 회복력 향상,ArmorPassiveSkill3,1130201
1130211,1130211,Dev,3T 가죽 갑옷_마력 자연 회복력 향상,ArmorPassiveSkill3,1130211
1130221,1130221,Dev,3T 가죽 장갑_마력 자연 회복력 향상,ArmorPassiveSkill3,1130221
1130231,1130231,Dev,3T 가죽 신발_마력 자연 회복력 향상,ArmorPassiveSkill3,1130231
1210201,1210201,Dev,1T 판금 투구_체력자연 회복력 향상,ArmorPassiveSkill3,1210201
1210211,1210211,Dev,1T 판금 갑옷_체력자연 회복력 향상,ArmorPassiveSkill3,1210211
1210221,1210221,Dev,1T 판금 장갑_체력자연 회복력 향상,ArmorPassiveSkill3,1210221
1210231,1210231,Dev,1T 판금 신발_체력자연 회복력 향상,ArmorPassiveSkill3,1210231
1220201,1220201,Dev,2T 판금 투구_체력자연 회복력 향상,ArmorPassiveSkill3,1220201
1220211,1220211,Dev,2T 판금 갑옷_체력자연 회복력 향상,ArmorPassiveSkill3,1220211
1220221,1220221,Dev,2T 판금 장갑_체력자연 회복력 향상,ArmorPassiveSkill3,1220221
1220231,1220231,Dev,2T 판금 신발_체력자연 회복력 향상,ArmorPassiveSkill3,1220231
1230201,1230201,Dev,3T 판금 투구_체력자연 회복력 향상,ArmorPassiveSkill3,1230201
1230211,1230211,Dev,3T 판금 갑옷_체력자연 회복력 향상,ArmorPassiveSkill3,1230211
1230221,1230221,Dev,3T 판금 장갑_체력자연 회복력 향상,ArmorPassiveSkill3,1230221
1230231,1230231,Dev,3T 판금 신발_체력자연 회복력 향상,ArmorPassiveSkill3,1230231
1010301,1010301,Dev,1T 천 투구_마나 소모량 감소,ArmorPassiveSkill4,1010301
1010311,1010311,Dev,1T 천 갑옷_마법 피해 감소 향상,ArmorPassiveSkill4,1010311
1010321,1010321,Dev,1T 천 장갑_마법 피해 증가 향상,ArmorPassiveSkill4,1010321
1010331,1010331,Dev,1T 천 신발_치유력 향상,ArmorPassiveSkill4,1010331
1020301,1020301,Dev,2T 천 투구_마나 소모량 감소,ArmorPassiveSkill4,1020301
1020311,1020311,Dev,2T 천 갑옷_마법 피해 감소 향상,ArmorPassiveSkill4,1020311
