OID,Cid,Comment,Tier,InitialPhase,PreviewPhase,DescName,Extension,ScriptName
8001,8001,1T~2T(놀 지역) 장신구 상자,Tier1,800101,800101,잠겨있는 보물 상자,,Doodad_8001
8002,8002,1T~2T(오크지역) 장신구 상자,Tier1,800201,800201,잠겨있는 보물 상자,,Doodad_8002
8003,8003,1T 망토 상자,Tier1,800301,800301,잠겨있는 견고한 보물 상자,,Doodad_8003
8004,8004,2T 망토 상자,Tier1,800401,800401,잠겨있는 견고한 보물 상자,,Doodad_8004
8500,8500,등받이 의자,TierNone,850001,850001,등받이 의자,,Doodad_Furniture
8501,8501,스툴,TierNone,850101,850101,스툴,,Doodad_Furniture
8502,8502,소파,TierNone,850201,850201,소파,,Doodad_Furniture
8503,8503,침대,TierNone,850301,850301,침대,,Doodad_Furniture
8504,8504,야외 테이블,TierNone,850401,850401,야외 테이블,,Doodad_Furniture
8505,8505,벤치,TierNone,850501,850501,벤치,,Doodad_Furniture
8506,8506,가로등1,TierNone,850601,850601,가로등,,Doodad_FurnitureOnOff
8507,8507,가로등2,TierNone,850701,850701,가로등,,Doodad_FurnitureOnOff
8508,8508,삿갓 달린 전등,TierNone,850801,850801,삿갓 달린 전등,,Doodad_FurnitureOnOff
8509,8509,침실 전등,TierNone,850901,850901,침실 전등,,Doodad_FurnitureOnOff
8511,8511,축음기,TierNone,851101,851101,축음기,,Doodad_8511
9001,9001,아키움 나무,Tier2,900101,900107,아키움 나무,,Doodad_9001
9002,9002,이니스 섬 특산품,Tier1,900201,900201,[임시]이니스 섬 특산품,9002,Doodad_Cargo
9003,9003,수상한 등짐,Tier2,900301,900301,[임시]수상한 등짐,9003,Doodad_Cargo
9004,9004,테스트_등짐 생성 후 획득,Tier1,900401,900401,[임시]테스트_등짐 생성 후 획득,,Doodad_SpawnAndTakeCargo
9005,9005,테스트_등짐 필드 생성,Tier2,900501,900501,[임시]테스트_등짐 필드 생성,,Doodad_SpawnDoodad
9960,9960,여명의 길 모닥불,TierNone,996001,996001,여명의 길 모닥불,,Doodad_9960
9967,9967,비건설형 모닥불,TierNone,996701,996701,모닥불,,Doodad_9967
9984,9984,깨어난 망자의 균열 (솔로),TierNone,998401,998401,깨어난 망자의 균열,9984,Doodad_DungeonPortal
9985,9985,깨어난 망자의 균열 (파티),TierNone,998501,998501,깨어난 망자의 균열,9985,Doodad_DungeonPortal
9986,9986,깨어난 망자의 균열 (오픈),TierNone,998601,998601,깨어난 망자의 균열,9986,Doodad_DungeonPortal
9987,9987,깨어난 망자의 균열 (고정 1인),TierNone,998701,998701,깨어난 망자의 균열,9987,Doodad_DungeonPortal
9989,9989,망원경,TierNone,998901,998901,망원경,,Doodad_9989
9991,9991,스칼니토스 소환,TierNone,999101,999101,심연이 깃든 사슬의 봉인석,,Doodad_9991
9994,9994,전장의 모닥불,Tier1,999401,999401,전장의 모닥불,,Doodad_9994
9997,9997,테스트용_함정,Tier1,999701,999701,,,Doodad_9997
