OID,Cid,Boundaries
100005,100005,"((X=358575.000000,Y=-147094.000000),(X=360871.000000,Y=-161986.000000),(X=361822.000000,Y=-161674.000000),(X=367227.000000,Y=-155778.000000),(X=370222.000000,Y=-148997.000000),(X=370010.000000,Y=-146528.000000),(X=368627.000000,Y=-144733.000000),(X=364944.000000,Y=-141325.000000),(X=362410.000000,Y=-140577.000000),(X=0.000000,Y=0.000000),(X=358561.000000,Y=-147004.000000),(X=358575.000000,Y=-147094.000000),(X=360360.000000,Y=-144060.000000),(X=0.000000,Y=0.000000),(X=358422.000000,Y=-146105.000000),(X=358561.000000,Y=-147004.000000),(X=359480.000000,Y=-145500.000000),(X=0.000000,Y=0.000000),(X=367227.000000,Y=-155778.000000),(X=370034.000000,Y=-152715.000000),(X=368716.000000,Y=-152408.000000),(X=367227.000000,Y=-155777.000000),(X=0.000000,Y=0.000000),(X=368716.000000,Y=-152408.000000),(X=369240.000000,Y=-152530.000000),(X=369130.000000,Y=-151470.000000),(X=0.000000,Y=0.000000),(X=366847.000000,Y=-156193.000000),(X=371120.000000,Y=-157710.000000),(X=371410.000000,Y=-157470.000000),(X=371630.000000,Y=-156900.000000),(X=371500.000000,Y=-156080.000000),(X=370510.000000,Y=-154980.000000),(X=368569.000000,Y=-154314.000000),(X=0.000000,Y=0.000000),(X=364310.000000,Y=-158960.000000),(X=365210.000000,Y=-160560.000000),(X=366670.000000,Y=-160080.000000),(X=368360.000000,Y=-156730.000000),(X=366847.000000,Y=-156193.000000),(X=0.000000,Y=0.000000),(X=368569.000000,Y=-154314.000000),(X=369840.000000,Y=-154750.000000),(X=370150.000000,Y=-153540.000000),(X=370140.000000,Y=-152740.000000),(X=370034.000000,Y=-152715.000000),(X=0.000000,Y=0.000000),(X=361822.000000,Y=-161674.000000),(X=362597.000000,Y=-161419.000000),(X=362440.000000,Y=-161000.000000),(X=0.000000,Y=0.000000),(X=360871.000000,Y=-161986.000000),(X=361290.000000,Y=-164700.000000),(X=362620.000000,Y=-167200.000000),(X=363940.000000,Y=-167990.000000),(X=365340.000000,Y=-168780.000000),(X=366560.000000,Y=-167770.000000),(X=364209.000000,Y=-163650.000000),(X=361907.000000,Y=-161646.000000),(X=0.000000,Y=0.000000),(X=364209.000000,Y=-163650.000000),(X=365470.000000,Y=-165860.000000),(X=364990.000000,Y=-164330.000000),(X=0.000000,Y=0.000000),(X=361907.000000,Y=-161646.000000),(X=363060.000000,Y=-162650.000000),(X=362597.000000,Y=-161419.000000),(X=0.000000,Y=0.000000),(X=348790.000000,Y=-149940.000000),(X=349080.000000,Y=-151470.000000),(X=350270.000000,Y=-151970.000000),(X=359110.000000,Y=-150562.000000),(X=358773.000000,Y=-148378.000000),(X=356580.000000,Y=-145530.000000),(X=354700.000000,Y=-145490.000000),(X=353373.000000,Y=-145853.000000),(X=0.000000,Y=0.000000),(X=350730.000000,Y=-148210.000000),(X=353373.000000,Y=-145853.000000),(X=352360.000000,Y=-146130.000000),(X=0.000000,Y=0.000000),(X=357450.000000,Y=-146660.000000),(X=358773.000000,Y=-148378.000000),(X=358422.000000,Y=-146105.000000),(X=0.000000,Y=0.000000),(X=348294.000000,Y=-160020.000000),(X=352499.000000,Y=-164381.000000),(X=360907.000000,Y=-162217.000000),(X=359110.000000,Y=-150562.000000),(X=354393.000000,Y=-151313.000000),(X=348562.000000,Y=-154480.000000),(X=0.000000,Y=0.000000),(X=351840.000000,Y=-151720.000000),(X=353000.000000,Y=-152070.000000),(X=354393.000000,Y=-151314.000000),(X=354394.000000,Y=-151313.000000),(X=354393.000000,Y=-151313.000000),(X=0.000000,Y=0.000000),(X=358720.000000,Y=-162780.000000),(X=360050.000000,Y=-162780.000000),(X=360980.000000,Y=-162690.000000),(X=360907.000000,Y=-162217.000000))"
100101,100101,"((X=-382156.000000,Y=446628.000000),(X=-378123.000000,Y=444080.000000),(X=-376387.000000,Y=447856.000000),(X=-377996.000000,Y=449284.000000),(X=-379912.000000,Y=449945.000000))"
100102,100102,"((X=-378456.000000,Y=439345.000000),(X=-376744.000000,Y=438416.000000),(X=-374892.000000,Y=442587.000000),(X=-376280.000000,Y=443309.000000),(X=0.000000,Y=0.000000),(X=-376744.000000,Y=438416.000000),(X=-374569.000000,Y=437235.000000),(X=-372440.000000,Y=440790.000000),(X=-375082.000000,Y=442159.000000))"
100103,100103,"((X=-390347.000000,Y=437226.000000),(X=-384558.000000,Y=434308.000000),(X=-381346.000000,Y=439745.000000),(X=-386992.000000,Y=443072.000000))"
100104,100104,"((X=-393244.000000,Y=439155.000000),(X=-390793.000000,Y=437747.000000),(X=-389104.000000,Y=441083.000000),(X=-391410.000000,Y=442434.000000))"
100105,100105,"((X=-397138.000000,Y=440247.000000),(X=-394208.000000,Y=438869.000000),(X=-392262.000000,Y=442611.000000),(X=-395256.000000,Y=443744.000000))"
100106,100106,"((X=-397993.000000,Y=438162.000000),(X=-382688.000000,Y=429388.000000),(X=-381943.000000,Y=430207.000000),(X=-397469.000000,Y=439193.000000))"
100107,100107,"((X=-384701.000000,Y=433005.000000),(X=-381240.000000,Y=431054.000000),(X=-379076.000000,Y=435040.000000),(X=-382604.000000,Y=436901.000000))"
101001,101001,"((X=240633.000000,Y=-120300.000000),(X=245875.000000,Y=-137975.000000),(X=251250.000000,Y=-137062.000000),(X=252472.000000,Y=-120339.000000),(X=245463.000000,Y=-114274.000000),(X=243508.000000,Y=-114419.000000),(X=242014.000000,Y=-116191.000000),(X=240729.000000,Y=-119978.000000),(X=240633.000000,Y=-120299.000000),(X=0.000000,Y=0.000000),(X=240034.000000,Y=-122306.000000),(X=240729.000000,Y=-124217.000000),(X=242508.000000,Y=-126621.000000),(X=240633.000000,Y=-120299.000000),(X=0.000000,Y=0.000000),(X=247134.000000,Y=-115720.000000),(X=252472.000000,Y=-120339.000000),(X=253056.000000,Y=-112350.000000))"
101002,101002,"((X=242046.000000,Y=-111956.000000),(X=243108.000000,Y=-114804.000000),(X=245478.000000,Y=-114324.000000),(X=245001.000000,Y=-110155.000000),(X=244447.000000,Y=-109801.000000),(X=242985.000000,Y=-110155.000000),(X=0.000000,Y=0.000000),(X=245063.000000,Y=-110694.000000),(X=245371.000000,Y=-113386.000000),(X=246033.000000,Y=-112141.000000),(X=245817.000000,Y=-111525.000000),(X=245756.000000,Y=-111371.000000),(X=0.000000,Y=0.000000),(X=245371.000000,Y=-113386.000000),(X=245478.000000,Y=-114324.000000),(X=245617.000000,Y=-114296.000000),(X=245648.000000,Y=-112864.000000))"
101003,101003,"((X=225681.000000,Y=-129986.000000),(X=237946.000000,Y=-115167.000000),(X=237946.000000,Y=-115166.000000),(X=232094.000000,Y=-115805.000000),(X=230093.000000,Y=-116718.000000),(X=226965.000000,Y=-124210.000000),(X=0.000000,Y=0.000000),(X=226965.000000,Y=-124210.000000),(X=228583.000000,Y=-120334.000000),(X=227529.000000,Y=-121668.000000),(X=0.000000,Y=0.000000),(X=224053.000000,Y=-130797.000000),(X=224716.000000,Y=-131152.000000),(X=225681.000000,Y=-129986.000000),(X=226476.000000,Y=-126408.000000),(X=224756.000000,Y=-128445.000000),(X=0.000000,Y=0.000000),(X=235442.000000,Y=-115440.000000),(X=237946.000000,Y=-115167.000000),(X=240556.000000,Y=-112013.000000),(X=239959.000000,Y=-111100.000000),(X=236658.000000,Y=-112856.000000),(X=0.000000,Y=0.000000),(X=234025.000000,Y=-115594.000000),(X=235442.000000,Y=-115440.000000),(X=235816.000000,Y=-114646.000000),(X=0.000000,Y=0.000000),(X=224716.000000,Y=-131152.000000),(X=233288.000000,Y=-135748.000000),(X=239713.000000,Y=-137995.000000),(X=243400.000000,Y=-137363.000000),(X=245260.000000,Y=-135046.000000),(X=242803.000000,Y=-127216.000000),(X=236473.000000,Y=-116946.000000),(X=0.000000,Y=0.000000),(X=236473.000000,Y=-116946.000000),(X=240070.000000,Y=-122782.000000),(X=242206.000000,Y=-116261.000000),(X=237524.000000,Y=-115676.000000),(X=0.000000,Y=0.000000),(X=237524.000000,Y=-115676.000000),(X=239959.000000,Y=-115980.000000),(X=238870.000000,Y=-114049.000000),(X=0.000000,Y=0.000000),(X=240070.000000,Y=-122782.000000),(X=240942.000000,Y=-124196.000000),(X=240204.000000,Y=-122371.000000),(X=240070.000000,Y=-122781.000000))"
101004,101004,"((X=216967.000000,Y=-115431.000000),(X=227622.000000,Y=-116299.000000),(X=234512.000000,Y=-115493.000000),(X=236127.000000,Y=-114514.000000),(X=232914.000000,Y=-105529.000000),(X=220826.000000,Y=-99720.000000),(X=217543.000000,Y=-102847.000000),(X=0.000000,Y=0.000000),(X=227622.000000,Y=-116299.000000),(X=231038.000000,Y=-116577.000000),(X=232473.000000,Y=-115731.000000),(X=0.000000,Y=0.000000),(X=216804.000000,Y=-119009.000000),(X=223255.000000,Y=-123019.000000),(X=227519.000000,Y=-123019.000000),(X=229874.000000,Y=-116482.000000),(X=216967.000000,Y=-115431.000000),(X=0.000000,Y=0.000000),(X=226530.000000,Y=-123019.000000),(X=227441.000000,Y=-123236.000000),(X=227519.000000,Y=-123019.000000),(X=0.000000,Y=0.000000),(X=228840.000000,Y=-119353.000000),(X=230239.000000,Y=-116512.000000),(X=229874.000000,Y=-116482.000000),(X=0.000000,Y=0.000000),(X=216745.000000,Y=-120281.000000),(X=220391.000000,Y=-122304.000000),(X=221650.000000,Y=-122022.000000),(X=216804.000000,Y=-119009.000000),(X=0.000000,Y=0.000000),(X=202616.000000,Y=-111421.000000),(X=203538.000000,Y=-115004.000000),(X=216805.000000,Y=-118983.000000),(X=217415.000000,Y=-105632.000000),(X=203943.000000,Y=-105495.000000),(X=0.000000,Y=0.000000),(X=203481.000000,Y=-107556.000000),(X=203943.000000,Y=-105495.000000),(X=203891.000000,Y=-105495.000000),(X=0.000000,Y=0.000000),(X=209546.000000,Y=-116806.000000),(X=216753.000000,Y=-120123.000000),(X=216805.000000,Y=-118983.000000),(X=0.000000,Y=0.000000),(X=215034.000000,Y=-119332.000000),(X=216745.000000,Y=-120281.000000),(X=216753.000000,Y=-120123.000000),(X=0.000000,Y=0.000000),(X=203891.000000,Y=-105495.000000),(X=213484.000000,Y=-105592.000000),(X=213096.000000,Y=-103563.000000),(X=209566.000000,Y=-102963.000000),(X=205812.000000,Y=-102757.000000),(X=205178.000000,Y=-103374.000000),(X=204013.000000,Y=-104882.000000))"
101005,101005,"((X=193150.000000,Y=-122863.000000),(X=194312.000000,Y=-127238.000000),(X=210923.000000,Y=-125701.000000),(X=210923.000000,Y=-125700.000000),(X=196730.000000,Y=-119164.000000),(X=195367.000000,Y=-119219.000000),(X=0.000000,Y=0.000000),(X=199590.000000,Y=-126750.000000),(X=217857.000000,Y=-138724.000000),(X=231268.000000,Y=-140322.000000),(X=230677.000000,Y=-134798.000000),(X=210923.000000,Y=-125700.000000),(X=0.000000,Y=0.000000),(X=196395.000000,Y=-127046.000000),(X=201214.000000,Y=-127814.000000),(X=199590.000000,Y=-126750.000000),(X=0.000000,Y=0.000000),(X=203695.000000,Y=-122372.000000),(X=225007.000000,Y=-132187.000000),(X=225007.000000,Y=-132186.000000),(X=223821.000000,Y=-127233.000000),(X=217694.000000,Y=-125644.000000),(X=203696.000000,Y=-122372.000000),(X=0.000000,Y=0.000000),(X=224284.000000,Y=-129169.000000),(X=225007.000000,Y=-132187.000000),(X=228037.000000,Y=-133582.000000),(X=0.000000,Y=0.000000),(X=196805.000000,Y=-119199.000000),(X=203695.000000,Y=-122372.000000),(X=212911.000000,Y=-124526.000000),(X=209782.000000,Y=-122440.000000),(X=202308.000000,Y=-118872.000000),(X=0.000000,Y=0.000000),(X=196730.000000,Y=-119164.000000),(X=196805.000000,Y=-119199.000000),(X=198742.000000,Y=-119084.000000))"
101101,101101,"((X=214584.000000,Y=-52598.000000),(X=217917.000000,Y=-63530.000000),(X=226316.000000,Y=-71351.000000),(X=235159.000000,Y=-73661.000000),(X=242980.000000,Y=-74994.000000),(X=252178.000000,Y=-63263.000000),(X=245868.000000,Y=-57753.000000),(X=231159.000000,Y=-51309.000000),(X=221339.000000,Y=-47799.000000))"
101102,101102,"((X=204747.000000,Y=-93606.000000),(X=208048.000000,Y=-93079.000000),(X=212515.000000,Y=-90610.000000),(X=213486.000000,Y=-89306.000000),(X=214590.000000,Y=-84965.000000),(X=205731.000000,Y=-87705.000000),(X=0.000000,Y=0.000000),(X=213874.000000,Y=-87780.000000),(X=216555.000000,Y=-84358.000000),(X=214590.000000,Y=-84965.000000),(X=0.000000,Y=0.000000),(X=203582.000000,Y=-88369.000000),(X=204164.000000,Y=-90888.000000),(X=205052.000000,Y=-91775.000000),(X=205731.000000,Y=-87705.000000),(X=0.000000,Y=0.000000),(X=207749.000000,Y=-87081.000000),(X=215783.000000,Y=-84597.000000),(X=215675.000000,Y=-80397.000000),(X=214878.000000,Y=-80464.000000),(X=212350.000000,Y=-81435.000000),(X=0.000000,Y=0.000000),(X=207630.000000,Y=-87117.000000),(X=207749.000000,Y=-87081.000000),(X=210784.000000,Y=-83357.000000),(X=208717.000000,Y=-85580.000000),(X=0.000000,Y=0.000000),(X=206071.000000,Y=-87599.000000),(X=207630.000000,Y=-87117.000000),(X=207826.000000,Y=-86840.000000),(X=0.000000,Y=0.000000),(X=215721.000000,Y=-82188.000000),(X=215782.000000,Y=-84597.000000),(X=215783.000000,Y=-84597.000000),(X=216555.000000,Y=-84358.000000),(X=217286.000000,Y=-83425.000000),(X=217536.000000,Y=-82371.000000),(X=217419.000000,Y=-82205.000000))"
101103,101103,"((X=219158.000000,Y=-91861.000000),(X=219907.000000,Y=-92267.000000),(X=225531.000000,Y=-91642.000000),(X=225855.000000,Y=-89166.000000),(X=222498.000000,Y=-85524.000000),(X=0.000000,Y=0.000000),(X=221330.000000,Y=-92109.000000),(X=222096.000000,Y=-92146.000000),(X=225514.000000,Y=-91769.000000),(X=225531.000000,Y=-91642.000000),(X=0.000000,Y=0.000000),(X=222498.000000,Y=-85524.000000),(X=225137.000000,Y=-88387.000000),(X=224858.000000,Y=-84154.000000),(X=223130.000000,Y=-84324.000000),(X=0.000000,Y=0.000000),(X=217691.000000,Y=-90608.000000),(X=217851.000000,Y=-91063.000000),(X=218630.000000,Y=-91574.000000),(X=219158.000000,Y=-91861.000000),(X=221468.000000,Y=-87479.000000),(X=219212.000000,Y=-88378.000000),(X=0.000000,Y=0.000000),(X=218606.000000,Y=-89267.000000),(X=219212.000000,Y=-88378.000000),(X=218922.000000,Y=-88493.000000),(X=0.000000,Y=0.000000),(X=219577.000000,Y=-88233.000000),(X=221468.000000,Y=-87479.000000),(X=222303.000000,Y=-85894.000000),(X=220747.000000,Y=-86892.000000),(X=219949.000000,Y=-87449.000000))"
101104,101104,"((X=200090.000000,Y=-90374.000000),(X=203640.000000,Y=-90738.000000),(X=204385.000000,Y=-84434.000000),(X=201146.000000,Y=-83984.000000))"
101105,101105,"((X=191844.000000,Y=-77027.000000),(X=196877.000000,Y=-83575.000000),(X=198531.000000,Y=-84074.000000),(X=200262.000000,Y=-83692.000000),(X=198151.000000,Y=-69967.000000),(X=197335.000000,Y=-69983.000000),(X=193682.000000,Y=-71905.000000),(X=0.000000,Y=0.000000),(X=192679.000000,Y=-74700.000000),(X=193682.000000,Y=-71905.000000),(X=193502.000000,Y=-72000.000000),(X=0.000000,Y=0.000000),(X=198838.000000,Y=-74431.000000),(X=200262.000000,Y=-83692.000000),(X=201013.000000,Y=-83526.000000),(X=203993.000000,Y=-81714.000000),(X=202995.000000,Y=-79622.000000),(X=201586.000000,Y=-77343.000000))"
101106,101106,"((X=167121.000000,Y=-72264.000000),(X=170990.000000,Y=-75800.000000),(X=174211.000000,Y=-75571.000000),(X=175047.000000,Y=-75061.000000),(X=175274.000000,Y=-73937.000000),(X=175214.000000,Y=-65046.000000),(X=167580.000000,Y=-68045.000000),(X=0.000000,Y=0.000000),(X=168184.000000,Y=-73235.000000),(X=168774.000000,Y=-75030.000000),(X=170171.000000,Y=-75858.000000),(X=170990.000000,Y=-75800.000000),(X=0.000000,Y=0.000000),(X=171986.000000,Y=-75729.000000),(X=173740.000000,Y=-75858.000000),(X=174211.000000,Y=-75571.000000),(X=0.000000,Y=0.000000),(X=175214.000000,Y=-65046.000000),(X=175250.000000,Y=-70368.000000),(X=178530.000000,Y=-70748.000000),(X=181519.000000,Y=-62569.000000),(X=0.000000,Y=0.000000),(X=175250.000000,Y=-70368.000000),(X=175266.000000,Y=-72728.000000),(X=175958.000000,Y=-72307.000000),(X=176506.000000,Y=-70514.000000),(X=0.000000,Y=0.000000),(X=176387.000000,Y=-70904.000000),(X=177186.000000,Y=-70592.000000),(X=176506.000000,Y=-70514.000000),(X=0.000000,Y=0.000000),(X=179961.000000,Y=-66831.000000),(X=180966.000000,Y=-71079.000000),(X=181823.000000,Y=-72229.000000),(X=185828.000000,Y=-73230.000000),(X=188606.000000,Y=-73265.000000),(X=195231.000000,Y=-68007.000000),(X=209665.000000,Y=-51511.000000),(X=181519.000000,Y=-62569.000000),(X=0.000000,Y=0.000000),(X=183070.000000,Y=-72541.000000),(X=185446.000000,Y=-73225.000000),(X=185828.000000,Y=-73230.000000),(X=0.000000,Y=0.000000),(X=191094.000000,Y=-71290.000000),(X=193188.000000,Y=-70342.000000),(X=195231.000000,Y=-68007.000000),(X=0.000000,Y=0.000000),(X=179270.000000,Y=-68724.000000),(X=180206.000000,Y=-70105.000000),(X=180712.000000,Y=-70008.000000),(X=179961.000000,Y=-66831.000000),(X=0.000000,Y=0.000000),(X=178900.000000,Y=-69735.000000),(X=179797.000000,Y=-69501.000000),(X=179270.000000,Y=-68724.000000),(X=0.000000,Y=0.000000),(X=205567.000000,Y=-56195.000000),(X=208356.000000,Y=-62122.000000),(X=211792.000000,Y=-63193.000000),(X=216729.000000,Y=-62995.000000),(X=211200.000000,Y=-50908.000000),(X=209665.000000,Y=-51511.000000),(X=0.000000,Y=0.000000),(X=208356.000000,Y=-62122.000000),(X=208395.000000,Y=-62205.000000),(X=209383.000000,Y=-62442.000000),(X=0.000000,Y=0.000000),(X=195400.000000,Y=-67814.000000),(X=198362.000000,Y=-67458.000000),(X=201680.000000,Y=-65246.000000),(X=206580.000000,Y=-58347.000000),(X=205567.000000,Y=-56195.000000),(X=0.000000,Y=0.000000),(X=205551.000000,Y=-59796.000000),(X=207131.000000,Y=-59519.000000),(X=206580.000000,Y=-58347.000000))"
101201,101201,"((X=146945.000000,Y=-92255.000000),(X=147226.000000,Y=-98751.000000),(X=147893.000000,Y=-99488.000000),(X=156039.000000,Y=-103140.000000),(X=159199.000000,Y=-103280.000000),(X=162289.000000,Y=-98681.000000),(X=162595.000000,Y=-97457.000000),(X=156882.000000,Y=-88077.000000),(X=154916.000000,Y=-86743.000000),(X=151369.000000,Y=-87129.000000),(X=147893.000000,Y=-89131.000000),(X=0.000000,Y=0.000000),(X=159234.000000,Y=-91939.000000),(X=162595.000000,Y=-97457.000000),(X=162886.000000,Y=-96293.000000),(X=162043.000000,Y=-94573.000000))"
101202,101202,"((X=145717.000000,Y=-79264.000000),(X=146208.000000,Y=-82459.000000),(X=147929.000000,Y=-84461.000000),(X=150281.000000,Y=-84004.000000),(X=155618.000000,Y=-81476.000000),(X=155493.000000,Y=-79858.000000),(X=153970.000000,Y=-76811.000000),(X=0.000000,Y=0.000000),(X=148315.000000,Y=-78492.000000),(X=153970.000000,Y=-76811.000000),(X=153862.000000,Y=-76596.000000),(X=152107.000000,Y=-76491.000000),(X=0.000000,Y=0.000000),(X=154459.000000,Y=-77790.000000),(X=155493.000000,Y=-79858.000000),(X=155477.000000,Y=-79651.000000))"
101203,101203,"((X=169173.000000,Y=-109516.000000),(X=173198.000000,Y=-120624.000000),(X=177108.000000,Y=-123863.000000),(X=180703.000000,Y=-122481.000000),(X=187049.000000,Y=-116917.000000),(X=188484.000000,Y=-111737.000000),(X=186667.000000,Y=-106641.000000),(X=179098.000000,Y=-102470.000000),(X=171758.000000,Y=-107106.000000),(X=0.000000,Y=0.000000),(X=183586.000000,Y=-119953.000000),(X=186865.000000,Y=-117583.000000),(X=187049.000000,Y=-116917.000000),(X=0.000000,Y=0.000000),(X=168655.000000,Y=-109999.000000),(X=172210.000000,Y=-117899.000000),(X=169173.000000,Y=-109516.000000),(X=0.000000,Y=0.000000),(X=179098.000000,Y=-102470.000000),(X=182800.000000,Y=-104511.000000),(X=182796.000000,Y=-104508.000000),(X=179123.000000,Y=-102454.000000),(X=0.000000,Y=0.000000),(X=171758.000000,Y=-107106.000000),(X=178372.000000,Y=-102928.000000),(X=174501.000000,Y=-104548.000000))"
101204,101204,"((X=187353.000000,Y=-134061.000000),(X=188378.000000,Y=-136111.000000),(X=201048.000000,Y=-143817.000000),(X=203184.000000,Y=-136798.000000),(X=202025.000000,Y=-134234.000000),(X=191233.000000,Y=-126375.000000),(X=188438.000000,Y=-127773.000000),(X=0.000000,Y=0.000000),(X=191233.000000,Y=-126375.000000),(X=196945.000000,Y=-130535.000000),(X=192679.000000,Y=-125652.000000),(X=0.000000,Y=0.000000),(X=190718.000000,Y=-137535.000000),(X=192457.000000,Y=-141360.000000),(X=194553.000000,Y=-142223.000000),(X=200940.000000,Y=-144171.000000),(X=201048.000000,Y=-143817.000000),(X=190718.000000,Y=-137534.000000),(X=0.000000,Y=0.000000),(X=189851.000000,Y=-137007.000000),(X=190065.000000,Y=-139856.000000),(X=191964.000000,Y=-140275.000000),(X=190718.000000,Y=-137534.000000))"
101205,101205,"((X=189577.000000,Y=-143492.000000),(X=192744.000000,Y=-143627.000000),(X=193321.000000,Y=-142976.000000),(X=192797.000000,Y=-141631.000000),(X=191985.000000,Y=-140211.000000),(X=190610.000000,Y=-139923.000000),(X=189828.000000,Y=-141563.000000))"
101206,101206,"((X=177090.000000,Y=-149251.000000),(X=183403.000000,Y=-156221.000000),(X=187063.000000,Y=-156265.000000),(X=190373.000000,Y=-155759.000000),(X=188400.000000,Y=-141623.000000),(X=187129.000000,Y=-140329.000000),(X=182000.000000,Y=-139760.000000),(X=180970.000000,Y=-140702.000000),(X=0.000000,Y=0.000000),(X=188661.000000,Y=-143493.000000),(X=190373.000000,Y=-155759.000000),(X=190790.000000,Y=-155695.000000),(X=194954.000000,Y=-154139.000000),(X=196379.000000,Y=-148988.000000),(X=194779.000000,Y=-144428.000000),(X=193307.000000,Y=-143571.000000),(X=0.000000,Y=0.000000),(X=188532.000000,Y=-142565.000000),(X=188661.000000,Y=-143493.000000),(X=189737.000000,Y=-143511.000000))"
101207,101207,"((X=149894.000000,Y=-126853.000000),(X=158897.000000,Y=-137728.000000),(X=166831.000000,Y=-143914.000000),(X=169924.000000,Y=-144862.000000),(X=175110.000000,Y=-133193.000000),(X=175035.000000,Y=-132439.000000),(X=152743.000000,Y=-123739.000000),(X=0.000000,Y=0.000000),(X=149340.000000,Y=-127459.000000),(X=149520.000000,Y=-128407.000000),(X=155429.000000,Y=-133539.000000),(X=149894.000000,Y=-126853.000000),(X=0.000000,Y=0.000000),(X=171009.000000,Y=-142421.000000),(X=175473.000000,Y=-136852.000000),(X=175110.000000,Y=-133193.000000),(X=0.000000,Y=0.000000),(X=173401.000000,Y=-139437.000000),(X=175521.000000,Y=-137341.000000),(X=175473.000000,Y=-136852.000000),(X=0.000000,Y=0.000000),(X=155777.000000,Y=-124924.000000),(X=169917.000000,Y=-130441.000000),(X=167859.000000,Y=-121526.000000),(X=167119.000000,Y=-118493.000000),(X=165245.000000,Y=-115343.000000),(X=159697.000000,Y=-116434.000000),(X=157527.000000,Y=-117926.000000),(X=0.000000,Y=0.000000),(X=152743.000000,Y=-123739.000000),(X=155777.000000,Y=-124924.000000),(X=156738.000000,Y=-121082.000000),(X=155349.000000,Y=-120890.000000),(X=0.000000,Y=0.000000),(X=168854.000000,Y=-125835.000000),(X=169917.000000,Y=-130441.000000),(X=174412.000000,Y=-132196.000000),(X=174761.000000,Y=-129273.000000),(X=0.000000,Y=0.000000),(X=174633.000000,Y=-130351.000000),(X=175400.000000,Y=-129644.000000),(X=174761.000000,Y=-129273.000000),(X=0.000000,Y=0.000000),(X=168669.000000,Y=-125037.000000),(X=168854.000000,Y=-125835.000000),(X=172890.000000,Y=-128184.000000),(X=168670.000000,Y=-125037.000000),(X=0.000000,Y=0.000000),(X=168451.000000,Y=-124090.000000),(X=168669.000000,Y=-125037.000000),(X=170079.000000,Y=-126088.000000))"
997901,997901,"((X=-9654.000000,Y=-4927.000000),(X=-9230.000000,Y=-5570.000000),(X=-7840.000000,Y=-5540.000000),(X=-7370.000000,Y=-4020.000000),(X=-8380.000000,Y=-3660.000000),(X=-9050.000000,Y=-3720.000000),(X=0.000000,Y=0.000000),(X=-9790.000000,Y=-4720.000000),(X=-9654.000000,Y=-4927.000000),(X=-9380.000000,Y=-4380.000000))"
997902,997902,"((X=-11390.000000,Y=-3207.000000),(X=-11030.000000,Y=-4698.000000),(X=-9988.000000,Y=-4878.000000),(X=-9377.000000,Y=-4375.000000),(X=-9036.000000,Y=-3692.000000),(X=-10222.000000,Y=-622.000000),(X=0.000000,Y=0.000000),(X=-10384.000000,Y=-979.000000),(X=-10222.000000,Y=-622.000000),(X=-10348.000000,Y=-296.000000),(X=0.000000,Y=0.000000),(X=-5249.000000,Y=3636.000000),(X=-1635.000000,Y=1248.000000),(X=162.000000,Y=2111.000000),(X=342.000000,Y=3853.000000),(X=-215.000000,Y=5326.000000),(X=-3431.000000,Y=6045.000000),(X=0.000000,Y=0.000000),(X=-8690.000000,Y=-923.000000),(X=-6701.000000,Y=314.000000),(X=-3593.000000,Y=2542.000000),(X=-5249.000000,Y=3636.000000),(X=0.000000,Y=0.000000),(X=-9627.000000,Y=-2164.000000),(X=-9342.000000,Y=-2902.000000),(X=-8174.000000,Y=-602.000000),(X=-8690.000000,Y=-923.000000),(X=0.000000,Y=0.000000),(X=-10348.000000,Y=-296.000000),(X=-9627.000000,Y=-2164.000000),(X=-9626.000000,Y=-2164.000000),(X=-5443.000000,Y=3379.000000),(X=-9467.000000,Y=2218.000000),(X=-10294.000000,Y=763.000000),(X=0.000000,Y=0.000000),(X=-7599.000000,Y=2757.000000),(X=-5443.000000,Y=3379.000000),(X=-4868.000000,Y=4141.000000))"
997903,997903,"((X=93.000000,Y=1770.000000),(X=167.000000,Y=-246.000000),(X=775.000000,Y=-2900.000000),(X=4952.000000,Y=-3310.000000),(X=2525.000000,Y=2867.000000),(X=390.000000,Y=4157.000000),(X=0.000000,Y=0.000000),(X=3162.000000,Y=-4235.000000),(X=5488.000000,Y=-4675.000000),(X=4952.000000,Y=-3310.000000),(X=3192.000000,Y=-3138.000000),(X=0.000000,Y=0.000000),(X=3590.000000,Y=156.000000),(X=5488.000000,Y=-4675.000000),(X=6217.000000,Y=-4813.000000),(X=9182.000000,Y=-3271.000000),(X=9464.000000,Y=-2218.000000),(X=6675.000000,Y=-227.000000),(X=0.000000,Y=0.000000),(X=6675.000000,Y=-227.000000),(X=8529.000000,Y=-1551.000000),(X=7432.000000,Y=-321.000000),(X=0.000000,Y=0.000000),(X=3014.000000,Y=1622.000000),(X=3590.000000,Y=156.000000),(X=5520.000000,Y=-83.000000))"
997904,997904,"((X=8623.000000,Y=926.000000),(X=9513.000000,Y=155.000000),(X=10432.000000,Y=452.000000),(X=10580.000000,Y=1460.000000),(X=9468.000000,Y=1890.000000))"
