OID,Cid,Comment,StepGoal,QuestVolumes,AutoMoveSourceType,Condition,ConditionTargetCid,Count,LocationDisplayType,MapDisplayType,HideSubSteps,LootItemAssetCid,IncreaseProbability,ActiveNpcSpawnerCids,ActiveSpawnerCids,ActiveDoodadPhaseCids,DeleteItemCids,StartSequenceCids,EndSequenceCids,ProgressSequenceCid,NormalLootGroupCid
900408,900408,피 묻은 손의 침략,지휘관 주변의 피 묻은 손 처치하기,,None,HuntMonster,900408,4,All,Dot,false,,1,[],[],[],[],[],[],,
900409,900409,피 묻은 손의 침략,피 묻은 손 간부 처치하기,[90040900],None,HuntMonster,900409,1,All,Dot,false,,1,[],[],[],[],[9004091],[],9004,
900410,900410,피 묻은 손의 침략,마을 안쪽으로 이동하기,,None,GoArea,900410,1,All,QuestLegend,false,,1,[],[],[],[],[],"[9004079,9004078]",9004,
900411,900411,피 묻은 손의 침략,부활한 피 묻은 손 간부 처치하기,[90041100],None,HuntMonster,900411,1,All,Dot,false,,1,[],[],[],[],[],[],9004,
1000101,1000101,이니스섬_몬스터_바위게,이니스 바위게 처치하기,,None,HuntMonster,1000101,10,None,Dot,false,,1,[],[],[],[],[],[],,
1000102,1000102,이니스섬_몬스터_악어거북,이니스 악어거북 처치하기,,None,HuntMonster,1000102,10,None,Dot,false,,1,[],[],[],[],[],[],,
1000103,1000103,이니스섬_몬스터_놀 투척꾼,놀 투척꾼 처치하기,,None,HuntMonster,1000103,10,None,Dot,false,,1,[],[],[],[],[],[],,
1000104,1000104,이니스섬_몬스터_놀 약탈꾼,놀 약탈꾼 처치하기,,None,HuntMonster,1000104,10,None,Dot,false,,1,[],[],[],[],[],[],,
1000105,1000105,이니스섬_몬스터_놀 싸움꾼,놀 싸움꾼 처치하기,,None,HuntMonster,1000105,20,None,Dot,false,,1,[],[],[],[],[],[],,91011
1000106,1000106,이니스섬_몬스터_놀 우두머리,놀 우두머리 처치하기,,None,HuntMonster,1000106,10,None,Dot,false,,1,[],[],[],[],[],[],,91012
1000201,1000201,이니스섬_던전_이즈나의 메아리,이즈나의 메아리 클리어하기,,None,DungeonClear,1000201,1,None,Dot,false,,1,[],[],[],[],[],[],,
1000301,1000301,이니스섬_퀘스트_정착을 위한 첫걸음,정착을 위한 첫 걸음 완료하기,,None,QuestComplete,1000301,1,None,Dot,false,,1,[],[],[],[],[],[],,
1000302,1000302,이니스섬_퀘스트_허가 받지 않은 자,허가 받지 않은 자 완료하기,,None,QuestComplete,1000302,1,None,Dot,false,,1,[],[],[],[],[],[],,
1000303,1000303,"이니스섬_퀘스트_낯선 땅, 첫 무장","낯선 땅, 첫 무장 완료하기",,None,QuestComplete,1000303,1,None,Dot,false,,1,[],[],[],[],[],[],,
1000401,1000401,이니스섬_수집_해산물 스튜,해산물 스튜 사용하기,,None,ConsumeItem,1000401,5,None,Dot,false,,1,[],[],[],[],[],[],,
1000402,1000402,이니스섬_수집_특제 수프,특제 수프 사용하기,,None,ConsumeItem,1000402,10,None,Dot,false,,1,[],[],[],[],[],[],,
1000403,1000403,이니스섬_수집_샐러드,샐러드 사용하기,,None,ConsumeItem,1000403,10,None,Dot,false,,1,[],[],[],[],[],[],,
1000404,1000404,이니스섬_수집_과일차,과일차 사용하기,,None,ConsumeItem,1000404,5,None,Dot,false,,1,[],[],[],[],[],[],,
1000405,1000405,이니스섬_수집_발효주,발효주 사용하기,,None,ConsumeItem,1000405,5,None,Dot,false,,1,[],[],[],[],[],[],,
1000501,1000501,이니스섬_탐험_이니스 부두,이니스 부두 발견하기,,None,GoArea,1000501,1,None,Dot,false,,1,[],[],[],[],[],[],,
1000502,1000502,이니스섬_탐험_이니스 부두의 관리실,이니스 부두의 관리실 발견하기,,None,GoArea,1000502,1,None,Dot,false,,1,[],[],[],[],[],[],,
1000503,1000503,이니스섬_탐험_여명의 길,여명의 길 발견하기,,None,GoArea,1000503,1,None,Dot,false,,1,[],[],[],[],[],[],,
1000504,1000504,이니스섬_탐험_달그늘 쉼터,달그늘 쉼터 발견하기,,None,GoArea,1000504,1,None,Dot,false,,1,[],[],[],[],[],[],,
1000505,1000505,이니스섬_탐험_고요의 숲,고요의 숲 발견하기,,None,GoArea,1000505,1,None,Dot,false,,1,[],[],[],[],[],[],,
1000506,1000506,이니스섬_탐험_신성의 숲,신성의 숲 발견하기,,None,GoArea,1000506,1,None,Dot,false,,1,[],[],[],[],[],[],,
1000507,1000507,이니스섬_탐험_스툴,스툴 조작하기,,None,Interaction,1000507,1,None,Dot,false,,1,[],[],[],[],[],[],,
1000508,1000508,이니스섬_탐험_침대,침대 누워보기,,None,Interaction,1000508,1,None,Dot,false,,1,[],[],[],[],[],[],,
1000509,1000509,이니스섬_탐험_가로등,가로등 켜기,,None,Interaction,1000509,1,None,Dot,false,,1,[],[],[],[],[],[],,
