OID,Cid,Comment,TriggerType,TriggerCid,TriggerCount
85020101,85020101,소파 앉기,Interaction,85020101,1
85030101,85030101,침대 앉기,Interaction,85030101,1
85040101,85040101,야외 테이블 앉기,Interaction,85040101,1
85050101,85050101,벤치 앉기,Interaction,85050101,1
85060101,85060101,가로등1_켜기,Interaction,85060101,1
85060201,85060201,가로등1_끄기,Interaction,85060201,1
85070101,85070101,가로등2_켜기,Interaction,85070101,1
85070201,85070201,가로등2_끄기,Interaction,85070201,1
85080101,85080101,갓달린 전등_켜기,Interaction,85080101,1
85080201,85080201,갓달린 전등_끄기,Interaction,85080201,1
85090101,85090101,침실등_켜기,Interaction,85090101,1
85090201,85090201,침실등_끄기,Interaction,85090201,1
85110101,85110101,축음기_다른 노래0,Interaction,85110101,1
85110201,85110201,축음기_다른 노래1,Interaction,85110201,1
85110301,85110301,축음기_다른 노래2,Interaction,85110301,1
90010101,90010101,아키움 묘목 -> 시간 경과 후 굶주린 아키움 나무로 전환,Timer,90010101,1
90010201,90010201,목마른 아키움 나무 -> 시간 초과 소멸,Timer,90010201,1
90010202,90010202,목마른 아키움 나무 -> 물주기,Interaction,90010202,1
90010301,90010301,생기 있는 아키움 나무 -> 시간 경과 후 랜덤 전환,Timer,90010301,1
90010401,90010401,결정이 열린 아키움 나무 -> 시간 초과 소멸,Timer,90010401,1
90010402,90010402,결정이 열린 아키움 나무 -> 벌목,Interaction,90010402,1
90010501,90010501,벼락 맞은 아키움 나무 -> 시간 초과 소멸,Timer,90010501,1
90010502,90010502,벼락 맞은 아키움 나무 -> 벌목,Interaction,90010502,1
90010601,90010601,벼락 맞는 나무 (벼락 연출),Timer,90010601,1
90020102,90020102,이니스 섬 특산품 획득,Interaction,90020102,1
90030102,90030102,수상한 등짐,Interaction,90030102,1
90040101,90040101,테스트_등짐 생성 두다드 (등짐 생성 후 획득),Interaction,90040101,1
90050101,90050101,테스트_등짐 생성 두다드 (등짐 필드 생성),Interaction,90050101,1
99600101,99600101,99600100_비활성화 된 모닥불->99600200_이니스 섬 모닥불(1/3),Interaction,99600101,1
99600201,99600201,99600200_이니스 섬 모닥불(1/3)->99600300_이니스 섬 모닥불(2/3),Interaction,99600201,5
99600301,99600301,99600300_이니스 섬 모닥불(2/3)->99600400_이니스 섬 모닥불(3/3),Interaction,99600301,5
99600401,99600401,99600400_이니스 섬 모닥불(3/3)->99600500_활성화 된 모닥불,Interaction,99600401,1
99600501,99600501,99600500_활성화 된 모닥불->99600600_모닥불 비활성화 유지,Timer,99600501,1
99600601,99600601,99600600_모닥불 비활성화 유지->99600100_비활성화 된 모닥불,Timer,99600601,1
99670101,99670101,99670100_모닥불_비활성화->99670200_모닥불_활성화,Interaction,99670101,1
99670201,99670201,99670200_모닥불_활성화->99670300_모닥불_비활성화 전,Timer,99670201,1
99670202,99670202,99670200_모닥불_활성화-바닥에 앉기,Interaction,99670202,1
99670301,99670301,99670300_모닥불_비활성화 전->99670100_모닥불_비활성화,Timer,99670301,1
9982011,9982011,소환 대기 중인 장치_인터렉션 대기 중,Interaction,9982011,1
9982021,9982021,소환이 완료된 장치_소멸 페이즈로,Timer,9982021,1
9983021,9983021,활성화 된 성소_소멸 페이즈로,Timer,9983021,1
99840101,99840101,활성화 된 망자의 균열 -> 활성화 된 망자의 균열,Interaction,99840101,1
99840201,99840201,활성화 된 망자의 균열 -> 활성화 된 망자의 균열,Interaction,99840201,1
99890101,99890101,99890100_망원경_기본->99890200_망원경_카메라5,Interaction,99890101,1
99890201,99890201,99890200_망원경_카메라5->99890100_망원경_기본,Timer,99890201,1
99910101,99910101,99910100_봉인석 올라오는 중->99910200_봉인석 등장 완료,Timer,99910101,1
99910201,99910201,99910200_봉인석 등장 완료->99910300_봉인석 인터렉션 가능,Interaction,99910201,1
99910301,99910301,99910300_봉인석 인터렉션 가능->99910400_소환 후 봉인석 파괴,Timer,99910301,1
99910401,99910401,99910400_소환 후 봉인석 파괴->99910100_봉인석 올라오는 중,Timer,99910401,1
99940102,99940102,불이 꺼진 모닥불 -> 전장의 모닥불(1/3),Interaction,99940102,1
99940201,99940201,은은한 모닥불 -> 불씨만 남은 은은한 모닥불,Timer,99940201,1
99940301,99940301,완성된 전장의 모닥불 -> 불씨만 남은 전장의 모닥불,Timer,99940301,1
99940401,99940401,불씨만 남은 은은한 모닥불 -> 불이 꺼진 모닥불,Timer,99940401,1
99940501,99940501,불씨만 남은 따뜻한 모닥불 -> 불이 꺼진 모닥불,Timer,99940501,1
99940601,99940601,전장의 모닥불(1/3) -> 전장의 모닥불(2/3),Interaction,99940601,3
99940701,99940701,전장의 모닥불(2/3) -> 전장의 모닥불(3/3),Interaction,99940701,3
99940801,99940801,전장의 모닥불(3/3) -> 전장의 모닥불 완성,Interaction,99940801,1
99970101,99970101,함정 해제,Interaction,99970101,1
99970102,99970102,함정 시간초과,Timer,99970102,1
99970103,99970103,함정 오버랩1,Overlap,99970103,1
99970104,99970104,함정 오버랩2,Overlap,99970104,1
99970105,99970105,함정 오버랩3,Overlap,99970105,1
99970106,99970106,함정 오버랩4,Overlap,99970106,1
99970201,99970201,함정상자 열림 연출,Timer,99970201,1
99970301,99970301,함정상자 열림 연출 -> 열림 대기,Timer,99970301,1
99970401,99970401,함정상자_폭발후 소멸,Timer,99970401,1
