OID,Cid,MasteryCid,NextCid,Descs,Level,Exp,Tier,MasteryLevel,MasteryReward,MasteryTrigger
4010704,4010704,401,4010705,"[""7T 이상의 광맥 채광""]",,133100,Tier7,4,[4010703],40007
4010705,4010705,401,4010706,"[""7T 이상의 광맥 채광""]",,159700,Tier7,5,[4010703],40007
4010706,4010706,401,4010707,"[""7T 이상의 광맥 채광""]",,191700,Tier7,6,[4010703],40007
4010707,4010707,401,4010708,"[""7T 이상의 광맥 채광""]",,230000,Tier7,7,[4010703],40007
4010708,4010708,401,4010709,"[""7T 이상의 광맥 채광""]",,276000,Tier7,8,[4010703],40007
4010709,4010709,401,,"[""7T 이상의 광맥 채광""]",,331200,Tier7,9,[4010703],40007
4020101,4020101,402,4020201,"[""1T 이상의 섬유 채집""]",,0,Tier1,1,[4020101],40001
4020201,4020201,402,4020301,"[""2T 이상의 섬유 채집""]",,480,Tier2,1,[4020201],40002
4020301,4020301,402,4020302,"[""3T 이상의 섬유 채집""]",,1200,Tier3,1,[4020301],40003
4020302,4020302,402,4020303,"[""3T 이상의 섬유 채집""]",,2400,Tier3,2,[4020302],40003
4020303,4020303,402,4020401,"[""3T 이상의 섬유 채집""]",,4000,Tier3,3,[4020303],40003
4020401,4020401,402,4020402,"[""4T 이상의 섬유 채집""]",,7200,Tier4,1,[4020401],40004
4020402,4020402,402,4020403,"[""4T 이상의 섬유 채집""]",,8600,Tier4,2,[4020402],40004
4020403,4020403,402,4020501,"[""4T 이상의 섬유 채집""]",,10400,Tier4,3,[4020403],40004
4020501,4020501,402,4020502,"[""5T 이상의 섬유 채집""]",,12400,Tier5,1,[4020501],40005
4020502,4020502,402,4020503,"[""5T 이상의 섬유 채집""]",,14900,Tier5,2,[4020502],40005
4020503,4020503,402,4020504,"[""5T 이상의 섬유 채집""]",,17900,Tier5,3,[4020503],40005
4020504,4020504,402,4020505,"[""5T 이상의 섬유 채집""]",,21500,Tier5,4,[4020503],40005
4020505,4020505,402,4020601,"[""5T 이상의 섬유 채집""]",,25800,Tier5,5,[4020503],40005
4020601,4020601,402,4020602,"[""6T 이상의 섬유 채집""]",,31000,Tier6,1,[4020601],40006
4020602,4020602,402,4020603,"[""6T 이상의 섬유 채집""]",,37200,Tier6,2,[4020602],40006
4020603,4020603,402,4020604,"[""6T 이상의 섬유 채집""]",,44600,Tier6,3,[4020603],40006
4020604,4020604,402,4020605,"[""6T 이상의 섬유 채집""]",,53500,Tier6,4,[4020603],40006
4020605,4020605,402,4020701,"[""6T 이상의 섬유 채집""]",,64200,Tier6,5,[4020603],40006
4020701,4020701,402,4020702,"[""7T 이상의 섬유 채집""]",,77000,Tier7,1,[4020701],40007
4020702,4020702,402,4020703,"[""7T 이상의 섬유 채집""]",,92400,Tier7,2,[4020702],40007
4020703,4020703,402,4020704,"[""7T 이상의 섬유 채집""]",,110900,Tier7,3,[4020703],40007
4020704,4020704,402,4020705,"[""7T 이상의 섬유 채집""]",,133100,Tier7,4,[4020703],40007
4020705,4020705,402,4020706,"[""7T 이상의 섬유 채집""]",,159700,Tier7,5,[4020703],40007
4020706,4020706,402,4020707,"[""7T 이상의 섬유 채집""]",,191700,Tier7,6,[4020703],40007
4020707,4020707,402,4020708,"[""7T 이상의 섬유 채집""]",,230000,Tier7,7,[4020703],40007
4020708,4020708,402,4020709,"[""7T 이상의 섬유 채집""]",,276000,Tier7,8,[4020703],40007
4020709,4020709,402,,"[""7T 이상의 섬유 채집""]",,331200,Tier7,9,[4020703],40007
4030101,4030101,403,4030201,"[""1T 이상의 나무 벌목""]",,0,Tier1,1,[4030101],40001
4030201,4030201,403,4030301,"[""2T 이상의 나무 벌목""]",,480,Tier2,1,[4030201],40002
4030301,4030301,403,4030302,"[""3T 이상의 나무 벌목""]",,1200,Tier3,1,[4030301],40003
4030302,4030302,403,4030303,"[""3T 이상의 나무 벌목""]",,2400,Tier3,2,[4030302],40003
4030303,4030303,403,4030401,"[""3T 이상의 나무 벌목""]",,4000,Tier3,3,[4030303],40003
4030401,4030401,403,4030402,"[""4T 이상의 나무 벌목""]",,7200,Tier4,1,[4030401],40004
4030402,4030402,403,4030403,"[""4T 이상의 나무 벌목""]",,8600,Tier4,2,[4030402],40004
4030403,4030403,403,4030501,"[""4T 이상의 나무 벌목""]",,10400,Tier4,3,[4030403],40004
4030501,4030501,403,4030502,"[""5T 이상의 나무 벌목""]",,12400,Tier5,1,[4030501],40005
4030502,4030502,403,4030503,"[""5T 이상의 나무 벌목""]",,14900,Tier5,2,[4030502],40005
4030503,4030503,403,4030504,"[""5T 이상의 나무 벌목""]",,17900,Tier5,3,[4030503],40005
4030504,4030504,403,4030505,"[""5T 이상의 나무 벌목""]",,21500,Tier5,4,[4030503],40005
4030505,4030505,403,4030601,"[""5T 이상의 나무 벌목""]",,25800,Tier5,5,[4030503],40005
4030601,4030601,403,4030602,"[""6T 이상의 나무 벌목""]",,31000,Tier6,1,[4030601],40006
4030602,4030602,403,4030603,"[""6T 이상의 나무 벌목""]",,37200,Tier6,2,[4030602],40006
4030603,4030603,403,4030604,"[""6T 이상의 나무 벌목""]",,44600,Tier6,3,[4030603],40006
4030604,4030604,403,4030605,"[""6T 이상의 나무 벌목""]",,53500,Tier6,4,[4030603],40006
4030605,4030605,403,4030701,"[""6T 이상의 나무 벌목""]",,64200,Tier6,5,[4030603],40006
4030701,4030701,403,4030702,"[""7T 이상의 나무 벌목""]",,77000,Tier7,1,[4030701],40007
4030702,4030702,403,4030703,"[""7T 이상의 나무 벌목""]",,92400,Tier7,2,[4030702],40007
4030703,4030703,403,4030704,"[""7T 이상의 나무 벌목""]",,110900,Tier7,3,[4030703],40007
4030704,4030704,403,4030705,"[""7T 이상의 나무 벌목""]",,133100,Tier7,4,[4030703],40007
4030705,4030705,403,4030706,"[""7T 이상의 나무 벌목""]",,159700,Tier7,5,[4030703],40007
4030706,4030706,403,4030707,"[""7T 이상의 나무 벌목""]",,191700,Tier7,6,[4030703],40007
4030707,4030707,403,4030708,"[""7T 이상의 나무 벌목""]",,230000,Tier7,7,[4030703],40007
4030708,4030708,403,4030709,"[""7T 이상의 나무 벌목""]",,276000,Tier7,8,[4030703],40007
4030709,4030709,403,,"[""7T 이상의 나무 벌목""]",,331200,Tier7,9,[4030703],40007
4040101,4040101,404,4040201,"[""1T 이상의 가죽 무두질""]",,0,Tier1,1,[4030101],40001
4040201,4040201,404,4040301,"[""2T 이상의 가죽 무두질""]",,480,Tier2,1,[4030201],40002
4040301,4040301,404,4040302,"[""3T 이상의 가죽 무두질""]",,1200,Tier3,1,[4030301],40003
4040302,4040302,404,4040303,"[""3T 이상의 가죽 무두질""]",,2400,Tier3,2,[4030302],40003
4040303,4040303,404,4040401,"[""3T 이상의 가죽 무두질""]",,4000,Tier3,3,[4030303],40003
4040401,4040401,404,4040402,"[""4T 이상의 가죽 무두질""]",,7200,Tier4,1,[4030401],40004
4040402,4040402,404,4040403,"[""4T 이상의 가죽 무두질""]",,8600,Tier4,2,[4030402],40004
4040403,4040403,404,4040501,"[""4T 이상의 가죽 무두질""]",,10400,Tier4,3,[4030403],40004
4040501,4040501,404,4040502,"[""5T 이상의 가죽 무두질""]",,12400,Tier5,1,[4030501],40005
4040502,4040502,404,4040503,"[""5T 이상의 가죽 무두질""]",,14900,Tier5,2,[4030502],40005
4040503,4040503,404,4040504,"[""5T 이상의 가죽 무두질""]",,17900,Tier5,3,[4030503],40005
4040504,4040504,404,4040505,"[""5T 이상의 가죽 무두질""]",,21500,Tier5,4,[4030503],40005
4040505,4040505,404,4040601,"[""5T 이상의 가죽 무두질""]",,25800,Tier5,5,[4030503],40005
4040601,4040601,404,4040602,"[""6T 이상의 가죽 무두질""]",,31000,Tier6,1,[4030601],40006
4040602,4040602,404,4040603,"[""6T 이상의 가죽 무두질""]",,37200,Tier6,2,[4030602],40006
4040603,4040603,404,4040604,"[""6T 이상의 가죽 무두질""]",,44600,Tier6,3,[4030603],40006
4040604,4040604,404,4040605,"[""6T 이상의 가죽 무두질""]",,53500,Tier6,4,[4030603],40006
4040605,4040605,404,4040701,"[""6T 이상의 가죽 무두질""]",,64200,Tier6,5,[4030603],40006
4040701,4040701,404,4040702,"[""7T 이상의 가죽 무두질""]",,77000,Tier7,1,[4030701],40007
4040702,4040702,404,4040703,"[""7T 이상의 가죽 무두질""]",,92400,Tier7,2,[4030702],40007
4040703,4040703,404,4040704,"[""7T 이상의 가죽 무두질""]",,110900,Tier7,3,[4030703],40007
4040704,4040704,404,4040705,"[""7T 이상의 가죽 무두질""]",,133100,Tier7,4,[4030703],40007
4040705,4040705,404,4040706,"[""7T 이상의 가죽 무두질""]",,159700,Tier7,5,[4030703],40007
4040706,4040706,404,4040707,"[""7T 이상의 가죽 무두질""]",,191700,Tier7,6,[4030703],40007
4040707,4040707,404,4040708,"[""7T 이상의 가죽 무두질""]",,230000,Tier7,7,[4030703],40007
4040708,4040708,404,4040709,"[""7T 이상의 가죽 무두질""]",,276000,Tier7,8,[4030703],40007
4040709,4040709,404,,"[""7T 이상의 가죽 무두질""]",,331200,Tier7,9,[4030703],40007
5010101,5010101,501,5010102,"[""1T 이상의 탐험 요소 상호작용""]",,100,Tier1,1,[5010101],40001
5010102,5010102,501,5010103,"[""1T 이상의 탐험 요소 상호작용""]",,200,Tier1,2,[5010102],40001
5010103,5010103,501,5010201,"[""1T 이상의 탐험 요소 상호작용""]",,300,Tier1,3,[5010103],40001
5010201,5010201,501,5010202,"[""2T 이상의 탐험 요소 상호작용""]",,400,Tier2,1,[5010201],40002
5010202,5010202,501,5010203,"[""2T 이상의 탐험 요소 상호작용""]",,500,Tier2,2,[5010202],40002
5010203,5010203,501,5010301,"[""2T 이상의 탐험 요소 상호작용""]",,600,Tier2,3,[5010203],40002
5010301,5010301,501,5010302,"[""3T 이상의 탐험 요소 상호작용""]",,700,Tier3,1,[5010301],40003
5010302,5010302,501,5010303,"[""3T 이상의 탐험 요소 상호작용""]",,800,Tier3,2,[5010302],40003
5010303,5010303,501,,"[""3T 이상의 탐험 요소 상호작용""]",,900,Tier3,3,[5010303],40003
6010101,6010101,601,6010201,"[""1T 이상의 판금 방어구 제작""]",,0,Tier1,1,[6010101],40001
6010201,6010201,601,6010301,"[""1T 이상의 판금 방어구 제작""]",,10,Tier2,1,[6010201],40001
6010301,6010301,601,6010401,"[""2T 이상의 판금 방어구 제작""]",,210,Tier3,1,[6010301],40002
6010401,6010401,601,6010501,"[""3T 이상의 판금 방어구 제작""]",,2210,Tier4,1,[6010401],40003
6010501,6010501,601,6010601,"[""4T 이상의 판금 방어구 제작""]",,22210,Tier5,1,[6010501],40004
6010601,6010601,601,6010701,"[""5T 이상의 판금 방어구 제작""]",,122210,Tier6,1,[6010601],40005
6010701,6010701,601,,,,622210,Tier7,1,[6010701],40006
6011101,6011101,602,6011201,"[""1T 이상의 가죽 방어구 제작""]",,0,Tier1,1,[6010101],40001
6011201,6011201,602,6011301,"[""1T 이상의 가죽 방어구 제작""]",,10,Tier2,1,[6010201],40001
6011301,6011301,602,6011401,"[""2T 이상의 가죽 방어구 제작""]",,210,Tier3,1,[6010301],40002
6011401,6011401,602,6011501,"[""3T 이상의 가죽 방어구 제작""]",,2210,Tier4,1,[6010401],40003
6011501,6011501,602,6011601,"[""4T 이상의 가죽 방어구 제작""]",,22210,Tier5,1,[6010501],40004
6011601,6011601,602,6011701,"[""5T 이상의 가죽 방어구 제작""]",,122210,Tier6,1,[6010601],40005
6011701,6011701,602,,,,622210,Tier7,1,[6010701],40006
6012101,6012101,603,6012201,"[""1T 이상의 천 방어구 제작""]",,0,Tier1,1,[6010101],40001
6012201,6012201,603,6012301,"[""1T 이상의 천 방어구 제작""]",,10,Tier2,1,[6010201],40001
6012301,6012301,603,6012401,"[""2T 이상의 천 방어구 제작""]",,210,Tier3,1,[6010301],40002
6012401,6012401,603,6012501,"[""3T 이상의 천 방어구 제작""]",,2210,Tier4,1,[6010401],40003
6012501,6012501,603,6012601,"[""4T 이상의 천 방어구 제작""]",,22210,Tier5,1,[6010501],40004
6012601,6012601,603,6012701,"[""5T 이상의 천 방어구 제작""]",,122210,Tier6,1,[6010601],40005
6012701,6012701,603,,,,622210,Tier7,1,[6010701],40006
6020101,6020101,604,6020201,"[""1T 이상의 양손검 제작""]",,0,Tier1,1,[6020101],40001
6020201,6020201,604,6020301,"[""1T 이상의 양손검 제작""]",,10,Tier2,1,[6020201],40001
6020301,6020301,604,6020401,"[""2T 이상의 양손검 제작""]",,110,Tier3,1,[6020301],40002
6020401,6020401,604,6020501,"[""3T 이상의 양손검 제작""]",,1110,Tier4,1,[6020401],40003
6020501,6020501,604,6020601,"[""4T 이상의 양손검 제작""]",,11110,Tier5,1,[6020501],40004
6020601,6020601,604,6020701,"[""5T 이상의 양손검 제작""]",,61110,Tier6,1,[6020601],40005
6020701,6020701,604,,,,311110,Tier7,1,[6020701],40006
6021101,6021101,605,6021201,"[""1T 이상의 단검 제작""]",,0,Tier1,1,[6020101],40001
6021201,6021201,605,6021301,"[""1T 이상의 단검 제작""]",,10,Tier2,1,[6020201],40001
6021301,6021301,605,6021401,"[""2T 이상의 단검 제작""]",,110,Tier3,1,[6020301],40002
6021401,6021401,605,6021501,"[""3T 이상의 단검 제작""]",,1110,Tier4,1,[6020401],40003
6021501,6021501,605,6021601,"[""4T 이상의 단검 제작""]",,11110,Tier5,1,[6020501],40004
6021601,6021601,605,6021701,"[""5T 이상의 단검 제작""]",,61110,Tier6,1,[6020601],40005
6021701,6021701,605,,,,311110,Tier7,1,[6020701],40006
6022101,6022101,606,6022201,"[""1T 이상의 활 제작""]",,0,Tier1,1,[6020101],40001
6022201,6022201,606,6022301,"[""1T 이상의 활 제작""]",,10,Tier2,1,[6020201],40001
6022301,6022301,606,6022401,"[""2T 이상의 활 제작""]",,110,Tier3,1,[6020301],40002
6022401,6022401,606,6022501,"[""3T 이상의 활 제작""]",,1110,Tier4,1,[6020401],40003
6022501,6022501,606,6022601,"[""4T 이상의 활 제작""]",,11110,Tier5,1,[6020501],40004
6022601,6022601,606,6022701,"[""5T 이상의 활 제작""]",,61110,Tier6,1,[6020601],40005
6022701,6022701,606,,,,311110,Tier7,1,[6020701],40006
6023101,6023101,607,6023201,"[""1T 이상의 지팡이 제작""]",,0,Tier1,1,[6020101],40001
6023201,6023201,607,6023301,"[""1T 이상의 지팡이 제작""]",,10,Tier2,1,[6020201],40001
6023301,6023301,607,6023401,"[""2T 이상의 지팡이 제작""]",,110,Tier3,1,[6020301],40002
6023401,6023401,607,6023501,"[""3T 이상의 지팡이 제작""]",,1110,Tier4,1,[6020401],40003
6023501,6023501,607,6023601,"[""4T 이상의 지팡이 제작""]",,11110,Tier5,1,[6020501],40004
6023601,6023601,607,6023701,"[""5T 이상의 지팡이 제작""]",,61110,Tier6,1,[6020601],40005
6023701,6023701,607,,,,311110,Tier7,1,[6020701],40006
6030101,6030101,608,6030201,"[""1T 이상의 요리 가공""]",,0,Tier1,1,[6040101],40001
6030201,6030201,608,6030301,"[""1T 이상의 요리 가공""]",,50,Tier2,1,[6040201],40001
6030301,6030301,608,6030401,"[""2T 이상의 요리 가공""]",,120,Tier3,1,[6040201],40002
6030401,6030401,608,6030501,"[""3T 이상의 요리 가공""]",,720,Tier4,1,[6040201],40003
6030501,6030501,608,6030601,"[""4T 이상의 요리 가공""]",,1240,Tier5,1,[6040201],40004
6030601,6030601,608,6030701,"[""5T 이상의 요리 가공""]",,3100,Tier6,1,[6040201],40005
6030701,6030701,608,,,,7700,Tier7,1,[6040201],40006
6031101,6031101,609,6031201,"[""1T 이상의 연금술 가공""]",,0,Tier1,1,[6040101],40001
6031201,6031201,609,6031301,"[""1T 이상의 연금술 가공""]",,50,Tier2,1,[6040201],40001
6031301,6031301,609,6031401,"[""2T 이상의 연금술 가공""]",,120,Tier3,1,[6040201],40002
6031401,6031401,609,6031501,"[""3T 이상의 연금술 가공""]",,720,Tier4,1,[6040201],40003
6031501,6031501,609,6031601,"[""4T 이상의 연금술 가공""]",,1240,Tier5,1,[6040201],40004
6031601,6031601,609,6031701,"[""5T 이상의 연금술 가공""]",,3100,Tier6,1,[6040201],40005
6031701,6031701,609,,,,7700,Tier7,1,[6040201],40006
7010101,7010101,701,7010201,"[""1T 이상의 광석 가공""]",,0,Tier1,1,[6040101],40001
7010201,7010201,701,7010301,"[""1T 이상의 광석 가공""]",,50,Tier2,1,[6040201],40001
7010301,7010301,701,7010401,"[""2T 이상의 광석 가공""]",,120,Tier3,1,[6040201],40002
7010401,7010401,701,7010501,"[""3T 이상의 광석 가공""]",,720,Tier4,1,[6040201],40003
7010501,7010501,701,7010601,"[""4T 이상의 광석 가공""]",,1240,Tier5,1,[6040201],40004
7010601,7010601,701,7010701,"[""5T 이상의 광석 가공""]",,3100,Tier6,1,[6040201],40005
7010701,7010701,701,,,,7700,Tier7,1,[6040201],40006
7011101,7011101,702,7011201,"[""1T 이상의 섬유 가공""]",,0,Tier1,1,[6040101],40001
7011201,7011201,702,7011301,"[""1T 이상의 섬유 가공""]",,50,Tier2,1,[6040201],40001
7011301,7011301,702,7011401,"[""2T 이상의 섬유 가공""]",,120,Tier3,1,[6040201],40002
7011401,7011401,702,7011501,"[""3T 이상의 섬유 가공""]",,720,Tier4,1,[6040201],40003
7011501,7011501,702,7011601,"[""4T 이상의 섬유 가공""]",,1240,Tier5,1,[6040201],40004
7011601,7011601,702,7011701,"[""5T 이상의 섬유 가공""]",,3100,Tier6,1,[6040201],40005
7011701,7011701,702,,,,7700,Tier7,1,[6040201],40006
7012101,7012101,703,7012201,"[""1T 이상의 통나무 가공""]",,0,Tier1,1,[6040101],40001
7012201,7012201,703,7012301,"[""1T 이상의 통나무 가공""]",,50,Tier2,1,[6040201],40001
7012301,7012301,703,7012401,"[""2T 이상의 통나무 가공""]",,120,Tier3,1,[6040201],40002
7012401,7012401,703,7012501,"[""3T 이상의 통나무 가공""]",,720,Tier4,1,[6040201],40003
7012501,7012501,703,7012601,"[""4T 이상의 통나무 가공""]",,1240,Tier5,1,[6040201],40004
7012601,7012601,703,7012701,"[""5T 이상의 통나무 가공""]",,3100,Tier6,1,[6040201],40005
7012701,7012701,703,,,,7700,Tier7,1,[6040201],40006
7013101,7013101,704,7013201,"[""1T 이상의 가죽 가공""]",,0,Tier1,1,[6040101],40001
7013201,7013201,704,7013301,"[""1T 이상의 가죽 가공""]",,50,Tier2,1,[6040201],40001
7013301,7013301,704,7013401,"[""2T 이상의 가죽 가공""]",,120,Tier3,1,[6040201],40002
7013401,7013401,704,7013501,"[""3T 이상의 가죽 가공""]",,720,Tier4,1,[6040201],40003
7013501,7013501,704,7013601,"[""4T 이상의 가죽 가공""]",,1240,Tier5,1,[6040201],40004
7013601,7013601,704,7013701,"[""5T 이상의 가죽 가공""]",,3100,Tier6,1,[6040201],40005
7013701,7013701,704,,,,7700,Tier7,1,[6040201],40006
